cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte,Oscar,Cannes,Berlim,Veneza,Sundance,Locarno,TIFF,San Seb.,Rotterdam,Annecy,Outros Intl,Havana,NYFF,BFI London,BAFTA,Globo de Ouro,Brasília,Gramado,Fest.Rio,Mostra SP
,Ainda Estou Aqui,ainda estou aqui,275.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",85,0,0,30,0,0,20,20,0,0,35,0,10,10,35,30,0,0,0,0
,Central do Brasil,central do brasil,351.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",50,0,85,0,20,0,20,35,0,0,76,0,0,0,35,30,0,0,0,0
,Cidade de Deus,cidade de deus,242.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",100,10,0,0,0,0,20,0,0,0,43,40,0,0,17,12,0,0,0,0
B1900232600000,BACURAU,bacurau,77.5,26,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | BFI - Festival de Cinema de Londres | Festival Cavalo de Ouro de Taipei (Taipei Golden Horse Film Festival) | Festival de Cannes | Festival de Cinema de Bogotá | Festival de Gramado | Festival de Nouveau Cinema | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Nova York | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | Jeonju Internacional Film Festival | KIFF - Kolkata International Film Festival | Los Angeles AFI Fest | Palm Springs | Sarajevo Film Festival | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A Vida Invisível de Eurídice Gusmão,a vida invisivel de euridice gusmao,58.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,30,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
,AQUARIUS,aquarius,56.5,0,,Ata BRDE/FSA Desempenho Artístico 2018 (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,O Menino e o Mundo,o menino e o mundo,164.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",10,0,0,0,0,0,0,0,0,60,94,0,0,0,0,0,0,0,0,0
,QUE HORAS ELA VOLTA?,que horas ela volta?,54.0,0,,Ata BRDE/FSA PRODAV 07/2017 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tropa de Elite,tropa de elite,66.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,50,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
,Linha de Passe,linha de passe,41.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,25,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
,Madame Satã,madame sata,33.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,O Pagador de Promessas,o pagador de promessas,55.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deus e o Diabo na Terra do Sol,deus e o diabo na terra do sol,28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,O Dragão da Maldade Contra o Santo Guerreiro,o dragao da maldade contra o santo guerreiro,25.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lavoura Arcaica,lavoura arcaica,43.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,5,0,0,0,0,0,0,0,0,13,10,0,0,0,0,15,0,0,0
,BOI NEON,boi neon,100.5,0,,Ata BRDE/FSA Desempenho Artístico 2018 (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,O SOM AO REDOR,o som ao redor,26.0,0,,Ata BRDE/FSA PRODAV 07/2015 — Desempenho Artístico (resultado final),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carandiru,carandiru,34.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0
,O Ano em que Meus Pais Saíram de Férias,o ano em que meus pais sairam de ferias,28.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,Pixote: A Lei do Mais Fraco,pixote: a lei do mais fraco,24.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
,"Eu, Tu, Eles","eu, tu, eles",13.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
B2000312900000,MARTE UM,marte um,52.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brésilien de Paris | Festival de Cinema de Denver | Festival de Cinema de Tribeca (Nova York) | Festival de Cinema Ibero-americano de Huelva | Festival de Gramado | Festival Guarnicê de Cinema | Festival Internacional de Cinema de Beijing | Festival Internacional de Cinema de Edimburgo | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de São Francisco | Festival Internacional de Melbourne | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Giffoni Film Festival | Nashville Film Festival | NewFest - Festival de Cinema e Mídias LGBTQ+ | Palm Springs | Sundance Film Festival | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Levante,levante,36.0,0,,"Festivais_por_obra_pre_expansao.xlsx (pesquisa bibliográfica / Claude, mar/2026)",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
