chamada;categoria;n_obras;n_obras_com_bilheteria;n_obras_com_festival;n_obras_com_lumiere;n_obras_com_vod;investimento_fsa_deflac;investimento_total_deflac;bilheteria_total_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_agregado;roi_dom_total_agregado;roi_dom_fsa_medio_obra;roi_dom_total_medio_obra;roi_intl_medio;roi_intl_max;pct_com_festival;pct_com_lumiere;pct_com_vod;total_paises_distintos;adm_eu_total;vod_plataformas_max;pontuacao_festivais_media;pontuacao_festivais_max;critica_media;cita_n_papers_media;pct_genero_feminino;pct_diversidade_regional;n_produtoras_distintas
PRODECINE 02;FSA Pontuação Bilheteria e Roteiro — Distribuidora;101;100;26;15;10;335162513.0;567876249.0;269441632.0;19926167.0;289367798.0;6.9;0.8634;0.5096;0.7627;0.3839;3.91;41.6;25.7;14.9;9.9;0;765745;45;6.6;77;3.664;3.5;0.0;0.0;81
PRODECINE 01;FSA Pontuação Bilheteria e Roteiro — Produtora;100;96;25;7;5;219860561.0;432854917.0;102600064.0;20747427.0;123347490.0;16.8;0.561;0.285;0.5941;0.1322;2.13;40.46;25.0;7.0;5.0;0;63356;24;5.9;82;3.633;1.78;0.0;0.0;84
PRODECINE 04;FSA Complementação;40;40;9;2;1;71874343.0;145167612.0;91378778.0;6263191.0;97641968.0;6.4;1.3585;0.6726;0.9851;0.3011;1.78;27.6;22.5;5.0;2.5;0;2723;51;5.2;88;3.74;3.46;0.0;0.0;37
FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA;FSA Automático Bilheteria;22;21;6;2;0;49960749.0;77016912.0;13581201.0;2045739.0;15626939.0;13.1;0.3128;0.2029;0.2319;0.0863;2.17;12.66;27.3;9.1;0.0;0;5204;0;6.0;42;3.762;1.38;0.0;0.0;19
COMERCIALIZAÇÃO - OPÇÃO DE INVESTIMENTO EM COMERCIALIZAÇÃO;FSA Comercialização / Distribuição;7;6;1;0;0;11211444.0;35466086.0;11100515.0;989209.0;12089724.0;8.2;1.0783;0.3409;2.0162;0.5965;0.11;0.8;14.3;0.0;0.0;0;0;0;0.6;4;3.739;7.0;0.0;0.0;7
FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA - VIA DISTRIBUIDORA;FSA Automático Bilheteria;8;8;1;0;0;29382100.0;49052653.0;10385809.0;494502.0;10880311.0;4.5;0.3703;0.2218;0.3916;0.1746;1.38;11.0;12.5;0.0;0.0;0;0;0;6.9;55;3.832;1.0;0.0;0.0;8
PRODECINE 05;FSA Pontuação Festivais e Roteiro;64;60;25;7;8;125421840.0;150909280.0;3185412.0;7112293.0;10297705.0;69.1;0.0821;0.0682;0.0958;0.0236;3.92;43.92;39.1;10.9;12.5;0;115173;36;9.4;114;3.654;4.32;0.0;0.0;61
SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL CINEMA;FSA Automático Bilheteria;4;4;0;0;0;5166986.0;13311658.0;5197049.0;946778.0;6143827.0;15.4;1.1891;0.4615;2.9684;0.2809;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;3.926;0.0;0.0;0.0;4
(sem chamada);FSA Automático Festivais;14;13;14;1;3;0.0;7530626.0;2025434.0;870240.0;2895674.0;30.1;;0.3845;0.0;0.0133;8.12;25.2;100.0;7.1;21.4;0;11146;40;28.2;76;3.878;0.0;0.0;0.0;11
PRODECINE 03;FSA Comercialização / Distribuição;5;5;4;1;0;1195527.0;2639928.0;1290431.0;892396.0;2182827.0;40.9;1.8258;0.8269;2.1534;0.9281;6.61;23.55;80.0;20.0;0.0;0;5329;0;21.4;59;3.084;0.0;0.0;0.0;5
COMERCIALIZAÇÃO EM CINEMA;FSA Comercialização / Distribuição;9;9;4;0;1;3895105.0;16042682.0;584333.0;1227936.0;1812269.0;67.8;0.4653;0.113;0.7147;0.0651;3.17;20.8;44.4;0.0;11.1;4;0;12;11.4;64;3.619;0.25;0.0;0.0;9
COMPLEMENTAÇÃO;FSA Complementação;4;4;1;0;0;4938308.0;18312519.0;808659.0;943470.0;1752129.0;53.8;0.3548;0.0957;0.4071;0.1011;0.48;1.9;25.0;0.0;0.0;0;0;0;2.4;9;3.79;0.0;0.0;0.0;4
PRODECINE 06;FSA Coprodução Internacional;16;13;6;0;0;5553401.0;6759142.0;695919.0;778466.0;1474386.0;52.8;0.2655;0.2181;0.2815;0.1154;2.26;16.6;37.5;0.0;0.0;0;0;0;11.3;83;3.846;;0.0;0.0;16
CONCURSO PRODUÇÃO PARA CINEMA;FSA Pontuação Festivais e Roteiro;11;11;3;1;1;31620971.0;40795380.0;571669.0;699906.0;1271575.0;55.0;0.0402;0.0312;0.0548;0.0166;3.38;33.1;27.3;9.1;9.1;0;2463;19;7.5;62;3.637;10.25;0.0;0.0;11
SUPORTE AUTOMÁTICO - DESEMPENHO ARTÍSTICO;FSA Automático Festivais;7;5;2;1;1;10825348.0;14406619.0;608487.0;485124.0;1093611.0;44.4;0.101;0.0759;0.1174;0.031;7.1;26.11;28.6;14.3;14.3;0;5980;13;19.9;71;3.663;15.0;0.0;0.0;5
PRODUÇÃO CINEMA;FSA Pontuação Bilheteria e Roteiro — Produtora;2;0;0;0;0;17974993.0;17974993.0;0.0;423492.0;423492.0;100.0;0.0236;0.0236;0.0236;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;;0.0;0.0;0.0;1
PRODECINE 07;FSA Coprodução Internacional;2;2;1;0;0;2535658.0;2535658.0;52225.0;153146.0;205370.0;74.6;0.081;0.081;0.0791;0.0183;4.3;8.6;50.0;0.0;0.0;0;0;0;21.5;43;3.9;;0.0;0.0;2
COPRODUÇÃO INTERNACIONAL;FSA Coprodução Internacional;3;1;0;0;0;1902075.0;2887477.0;4652.0;128702.0;133354.0;96.5;0.0701;0.0462;0.1111;0.0014;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;4.2;;0.0;0.0;2
COPRODUÇÃO INTERNACIONAL CINEMA;FSA Coprodução Internacional;1;1;1;0;1;1572450.0;1572450.0;116378.0;0.0;116378.0;0.0;0.074;0.074;0.074;0.074;19.2;19.2;100.0;0.0;100.0;0;0;19;46.0;46;;;0.0;0.0;1
PRODECINE 09;FSA Coprodução Internacional;2;2;1;0;0;1321439.0;1321439.0;21888.0;69614.0;91502.0;76.1;0.0692;0.0692;0.066;0.0161;0.4;0.8;50.0;0.0;0.0;0;0;0;2.0;4;;;0.0;0.0;2
PRODECINE 12;FSA Coprodução Internacional;1;1;0;0;0;749110.0;981157.0;1769.0;69614.0;71383.0;97.5;0.0953;0.0728;0.0953;0.0018;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;;;0.0;0.0;1
PRODECINE 08;FSA Coprodução Internacional;3;2;2;0;1;1993259.0;1993259.0;7853.0;0.0;7853.0;0.0;0.0039;0.0039;0.0039;0.0039;3.7;10.9;66.7;0.0;33.3;0;0;6;1.8;4;4.062;;0.0;0.0;3
CINEMA NOVOS REALIZADORES;FSA Apenas roteiro;1;0;0;0;0;2096600.0;2489712.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;3.863;;0.0;0.0;1
