diretor;diretor_norm;n_obras_fomento;ano_primeira_obra;ano_ultima_obra;n_obras_fsa;n_obras_renuncia;investimento_fsa_deflac;investimento_total_deflac;bilheteria_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_intl_medio;pontuacao_festivais_max;pontuacao_festivais_media;adm_eu_total;critica_media;categoria_principal;genero_diretor;diversidade_regional;cita_n_papers;cita_soma_citacoes;wikidata_id;prestigio_festiv;prestigio_filmes;fest_diretor_norm;fest_n_participacoes_total;fest_n_festivais_especial;fest_n_festivais_aa;fest_n_competicao_principal;fest_n_secao_paralela;fest_n_premios;fest_tem_curta_festival;fest_tem_longa_festival;fest_melhor_nivel;fest_primeiro_festival_ano;fest_ultimo_festival_ano;fest_festivais_lista;fest_n_festivais_distintos;fest_n_cannes;fest_n_berlim;fest_n_veneza;fest_n_oscar;fest_n_sundance;fest_n_rotterdam;fest_n_tiff;fest_n_locarno;fest_n_san_sebastian;fest_n_idfa;fest_n_annecy;fest_n_karlovy_vary
HUMBERTO MAURO;HUMBERTO MAURO;313;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUILHERME LUIZ ZATTAR;GUILHERME LUIZ ZATTAR;310;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAURICIO ARAUJO DE SOUSA;MAURICIO ARAUJO DE SOUSA;207;2017.0;2023.0;0;5;0.0;22631779.49;0.0;830250.94;830250.94;100.0;;0.0367;0.0;0.0;0.0;0;3.538;Renúncia — Art.3/3-A/39;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANTONIO OLIVEIRA TOSTES;ANTONIO OLIVEIRA TOSTES;185;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KENNY CANTERINI KANASHIRO;KENNY CANTERINI KANASHIRO;155;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEDRO HENRIQUE SECCHIN SILVA;PEDRO HENRIQUE SECCHIN SILVA;154;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARCIO RIBEIRO MAZERON;MARCIO RIBEIRO MAZERON;154;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATIANA BRANCAGLION CORREA DA COSTA;TATIANA BRANCAGLION CORREA DA COSTA;151;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUIZ FERNANDO TREVISAN FERREIRA;LUIZ FERNANDO TREVISAN FERREIRA;142;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FABIO JOSE FRANCISCO;FABIO JOSE FRANCISCO;132;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JORGE LUIS MARTINS NASSARALLA;JORGE LUIS MARTINS NASSARALLA;127;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARLA MARIA ALBUQUERQUE DE SA;CARLA MARIA ALBUQUERQUE DE SA;123;2014.0;2022.0;12;4;14501888.38;23750918.15;0.0;1439925.22;1439925.22;100.0;0.0993;0.0606;0.0;0.0;0.0;0;3.932;_tv_excluir;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MURILO DE PAULA EDUARDO GARAVELLO;MURILO DE PAULA EDUARDO GARAVELLO;117;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHRISTIAN LOUIS PINTO SAGHAARD;CHRISTIAN LOUIS PINTO SAGHAARD;114;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARLOS VINICIUS BORGES;CARLOS VINICIUS BORGES;111;2016.0;2016.0;0;1;0.0;1710062.65;0.0;89220.66;89220.66;100.0;;0.0522;0.0;0.0;0.0;0;4.03;Renúncia — Art.3/3-A/39;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANSELMO TRONCOSO GUIMARAES;ANSELMO TRONCOSO GUIMARAES;110;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
