CPB;titulo;ano;chamada;categoria;bilheteria_nominal_r;bilheteria_deflac_r2024;outras_janelas_deflac_r2024;outras_janelas_nominal_r;receita_total_deflac_r2024;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;total_paises_alcancados;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;critica_indice_1_5;critica_n_fontes;cita_n_papers;cita_soma_cit;prestigio_festiv;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;IMDB_GENRES;IMDB_RUNTIME;PRESTIGIO_FESTIVAIS;N_DIRETORES;tipo_investimento;valor_nominal_r;valor_deflac_r2024;ano_referencia_deflacao;roi_sobre_este_inv_deflac
B1402149500000;100 ANOS DE SELEÇÃO BRASILEIRA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;1.0;0.0;;04.350.398/0001-47;;;;;;;;;;RENUNCIA_ART3;1279999.99;2238960.62;2014;0.0
B1402149500000;100 ANOS DE SELEÇÃO BRASILEIRA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;1.0;0.0;;04.350.398/0001-47;;;;;;;;;;RENUNCIA_OUTROS;817658.14;1430237.81;2014;0.0
B1402085500000;A BOLA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;139935.04;80000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.878;2;0.0;;;04.453.786/0001-53;;;;;;;;;;RENUNCIA_ART3;1398408.55;2446079.45;2014;0.0
B1402778200000;A COPA PASSOU POR AQUI;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.03;2;16.0;4.0;Cannes/Oscar;94.625.829/0001-23;;;;;;;;;;RENUNCIA_ART3;2499999.99;4372969.98;2014;0.0
B1402372600000;A DESPEDIDA;2014;;Renúncia — Art.3/3-A/39;21558.9;30396.52;594723.92;340000;30396.52;0.0;0.0263;0.0;0;0.0;0;0;0;0.0;0;;;;03.863.923/0001-65;;;;;;;;;;RENUNCIA_ART3;48000.0;83961.02;2014;0.362
B1402372600000;A DESPEDIDA;2014;;Renúncia — Art.3/3-A/39;21558.9;30396.52;594723.92;340000;30396.52;0.0;0.0263;0.0;0;0.0;0;0;0;0.0;0;;;;03.863.923/0001-65;;;;;;;;;;RENUNCIA_OUTROS;613769.3;1073597.89;2014;0.0283
B1500489000000;A GRANDE LUTA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;104951.28;60000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;4.235;2;7.0;0.0;;16.729.130/0001-08;;;;;;;;;;RENUNCIA_ART3;1538710.25;2691493.5;2014;0.0
B1402149200000;A GRANDE VITORIA;2014;;Renúncia — Outros Mecanismos;326034.0;527814.0;743404.9;425000;527814.0;0.0;1.5966;0.0;0;0.0;0;0;0;4.164;2;;;;11.936.522/0001-16;;;;;;;;;;RENUNCIA_OUTROS;188990.0;330579.04;2014;1.5966
B1402126900000;A LINHA FRIA DO HORIZONTE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;594723.92;340000;0.0;0.0;0.0;0.0;0;0.0;0;0;0;3.678;1;;;;07.381.315/0001-75;;;;;;;;;;RENUNCIA_OUTROS;602451.78;1053801.42;2014;0.0
B1402307700000;A LUNETA DO TEMPO;2014;;Renúncia — Outros Mecanismos;97068.0;136794.28;734658.96;420000;136794.28;0.0;0.026;0.0;0;0.0;0;0;0;3.648;2;;;;05.167.381/0001-11;;;;;;;;;;RENUNCIA_OUTROS;3010000.0;5265055.88;2014;0.026
