CPB;titulo;ano;chamada;categoria;investimento_fsa_nominal;investimento_renuncia_art3_nominal;investimento_renuncia_outros_nominal;investimento_fsa_deflac;investimento_renuncia_total_deflac;investimento_total_deflac;bilheteria_nominal;bilheteria_deflac;outras_janelas_nominal;outras_janelas_deflac;receita_total_deflac;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;paises_festivais;paises_lumiere;paises_vod_europa;paises_lista;critica_indice_1_5;critica_fontes;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;cita_venues;prestigio_festiv;wikidata_id_dir;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;imdb_genres;imdb_runtime;prestigio_festivais;n_diretores;investimento_total_nominal;roi_dom_fsa_nominal;roi_dom_total_nominal
B1402149500000;100 ANOS DE SELEÇÃO BRASILEIRA;2014;;Renúncia — Art.3/3-A/39;0.0;1279999.99;817658.14;0.0;3669198.43;3669198.43;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;1.0;0.0;0.0;;;;04.350.398/0001-47;;;;;;;;;;2097658.13;;0.0286
B1402085500000;A BOLA;2014;;Renúncia — Art.3/3-A/39;0.0;1398408.55;0.0;0.0;2446079.45;2446079.45;0.0;0.0;80000;139935.04;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.878;adoro_critico|adoro_usuario;2;alta;0.0;;;;;;04.453.786/0001-53;;;;;;;;;;1398408.55;;0.0572
B1402778200000;A COPA PASSOU POR AQUI;2014;;Renúncia — Art.3/3-A/39;0.0;2499999.99;0.0;0.0;4372969.98;4372969.98;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.03;adoro_critico|adoro_usuario;2;alta;16.0;4.0;2.0;LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista Internacional Interdisciplinar INTERthesis | Dialnet (Universidad de la Rioja);Cannes/Oscar;Q14940022;94.625.829/0001-23;;;;;;;;;;2499999.99;;0.024
B1402372600000;A DESPEDIDA;2014;;Renúncia — Art.3/3-A/39;0.0;48000.0;613769.3;0.0;1157558.92;1157558.92;21558.9;30396.52;340000;594723.92;30396.52;0.0;0.0263;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;03.863.923/0001-65;;;;;;;;;;661769.3;;0.5464
B1500489000000;A GRANDE LUTA;2014;;Renúncia — Art.3/3-A/39;0.0;1538710.25;0.0;0.0;2691493.5;2691493.5;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.235;adoro_critico|adoro_usuario;2;media;7.0;0.0;0.0;LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP);;;16.729.130/0001-08;;;;;;;;;;1538710.25;;0.039
B1402149200000;A GRANDE VITORIA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;188990.0;0.0;330579.04;330579.04;326034.0;527814.0;425000;743404.9;527814.0;0.0;1.5966;0.0;0.0;0;0;0;0;;;;;4.164;adoro_critico|adoro_usuario;2;alta;;;;;;;11.936.522/0001-16;;;;;;;;;;188990.0;;3.9739
B1402126900000;A LINHA FRIA DO HORIZONTE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;602451.78;0.0;1053801.42;1053801.42;0.0;0.0;340000;594723.92;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.678;adoro_critico;1;media;;;;;;;07.381.315/0001-75;;;;;;;;;;602451.78;;0.5644
B1402307700000;A LUNETA DO TEMPO;2014;;Renúncia — Outros Mecanismos;0.0;0.0;3010000.0;0.0;5265055.88;5265055.88;97068.0;136794.28;420000;734658.96;136794.28;0.0;0.026;0.0;0.0;0;0;0;0;;;;;3.648;adoro_critico|adoro_usuario;2;alta;;;;;;;05.167.381/0001-11;;;;;;;;;;3010000.0;;0.1718
B1402723400000;A NOITE DA VIRADA;2014;;Renúncia — Art.3/3-A/39;0.0;400000.0;961050.0;0.0;2380732.33;2380732.33;4333676.3;6954004.12;205000;358583.54;6954004.12;0.0;2.921;0.0;0.0;0;0;0;0;;;;;3.3;adoro_usuario;1;baixa;0.0;;;;;;02.525.725/0001-29;;;;;;;;;;1361050.0;;3.3347
B1402282800000;A SEGUNDA VEZ;2014;;Renúncia — Art.3/3-A/39;0.0;1000000.0;1400000.0;0.0;4198051.2;4198051.2;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.105;adoro_critico|adoro_usuario;2;alta;1.0;0.0;0.0;Revista Brasileira de História & Ciências Sociais;;;09.180.984/0001-04;;;;;;;;;;2400000.0;;0.025
B1402237200000;A VAGA;2014;;Renúncia — Art.3/3-A/39;0.0;2685483.84;0.0;0.0;4697416.11;4697416.11;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;02.525.725/0001-29;;;;;;;;;;2685483.84;;0.0223
B1500265900000;A VIAGEM DE YOANI;2014;;Renúncia — Outros Mecanismos;0.0;0.0;367500.0;0.0;642826.59;642826.59;13304.61;19462.52;120000;209902.56;19462.52;0.0;0.0303;0.0;0.0;0;0;0;0;;;;;3.9;adoro_usuario;1;baixa;;;;;;;09.640.643/0001-74;;;;;;;;;;367500.0;;0.3627
B1402781000000;A VIDA PRIVADA DOS HIPOPÓTAMOS;2014;;Renúncia — Outros Mecanismos;0.0;0.0;515000.0;0.0;900831.82;900831.82;15506.19;22683.08;200000;349837.6;22683.08;0.0;0.0252;4.0;20.0;0;0;0;0;;;;;3.2;adoro_usuario;1;baixa;;;;;;;06.137.016/0001-27;;;;;;;;;;515000.0;;0.4185
B1500404600000;A VIZINHANÇA DO TIGRE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;89128.0;0.0;155901.63;155901.63;25464.6;35903.28;260000;454788.88;35903.28;0.0;0.2303;2.5;12.5;0;0;0;0;;;;;4.113;adoro_critico|adoro_usuario;2;media;0.0;;;;;;PESSOA FÍSICA;;;;;;;;;;89128.0;;3.2029
B1402281100000;ADVOGADOS CONTRA A DITADURA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;700000.0;0.0;1224431.6;1224431.6;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;27.651.181/0001-72;;;;;;;;;;700000.0;;0.0
B1402081900000;ALEMÃO;2014;;Renúncia — Outros Mecanismos;0.0;0.0;400000.0;0.0;699675.2;699675.2;11819536.84;19134559.64;205000;358583.54;19134559.64;0.0;27.3478;0.0;0.0;0;0;0;0;;;;;3.5;adoro_usuario;1;baixa;;;;;;;05.387.293/0001-25;;;;;;;;;;400000.0;;30.0613
B1402148800000;ALMANAQUE DOS ESPORTES;2014;;Renúncia — Art.3/3-A/39;0.0;807000.0;0.0;0.0;1411594.72;1411594.72;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;10.532.883/0001-34;;;;;;;;;;807000.0;;0.0743
B1700623000000;AMARAÇÃO;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;12.305.731/0001-24;;;;;;;;;;0.0;;
B1500118400000;ANDRÉ MIDANI - DO VINIL AO DOWNLOAD;2014;;Renúncia — Art.3/3-A/39;0.0;900000.0;250000.0;0.0;2011566.2;2011566.2;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;1.0;1.0;1.0;;;;09.180.984/0001-04;;;;;;;;;;1150000.0;;0.0522
B1402480200000;APNEIA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;630859.64;0.0;1103492.11;1103492.11;65048.75;100851.24;120000;209902.56;100851.24;0.0;0.0914;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;11.179.178/0001-68;;;;;;;;;;630859.64;;0.2933
B1402778600000;ARQUITETURA DA COR;2014;;Renúncia — Outros Mecanismos;0.0;0.0;650000.0;0.0;1136972.2;1136972.2;0.0;0.0;65000;113697.22;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;10.874.608/0001-07;;;;;;;;;;650000.0;;0.1
B1402329400000;ARTE.TV;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120000;209902.56;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;10.208.060/0001-58;;;;;;;;;;0.0;;
B1700423300000;AS AVENTURAS DO MIAU;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;3.04;adoro_critico|adoro_usuario;2;media;;;;;;;19.907.459/0001-00;;;;;;;;;;0.0;;
B1500451800000;ATO, ATALHO E VENTO;2014;;Renúncia — Outros Mecanismos;0.0;0.0;460000.0;0.0;804626.48;804626.48;12244.59;17911.88;60000;104951.28;17911.88;0.0;0.0223;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;66.708.900/0001-04;;;;;;;;;;460000.0;;0.1571
B1500276200000;AUSÊNCIA;2014;;Renúncia — Art.3/3-A/39;0.0;250000.0;750000.0;0.0;1749188.0;1749188.0;55061.46;80116.4;65000;113697.22;80116.4;0.0;0.0458;11.7;48.5;0;1;1;0;;;;;0.0;;0;;;;;;;;07.477.471/0001-34;;;;;;;;;;1000000.0;;0.1201
B1402181500000;BR 14 - A ROTA DOS IMIGRANTES;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80000;139935.04;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;07.929.498/0001-10;;;;;;;;;;0.0;;
B1402203900000;BRINCANTE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;1400000.0;0.0;2448863.2;2448863.2;90976.77;142380.56;60000;104951.28;142380.56;0.0;0.0581;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;01.378.559/0001-12;;;;;;;;;;1400000.0;;0.1078
B1402830300000;CAMISA OFICIAL;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60000;104951.28;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;08.346.159/0001-74;;;;;;;;;;0.0;;
B1402244100000;CARLOS;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;922583.0;0.0;1613771.11;1613771.11;0.0;0.0;360000;629707.68;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;08.378.645/0001-74;;;;;;;;;;922583.0;;0.3902
B1500245000000;CAROL LEVY CONTAROLANDO;2014;;Renúncia — Art.3/3-A/39;0.0;650000.0;0.0;0.0;1136972.2;1136972.2;0.0;0.0;80000;139935.04;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.3;adoro_usuario;1;baixa;;;;;;;04.490.617/0001-93;;;;;;;;;;650000.0;;0.1231
