CNPJ_produtora;razao_social;UF;classificacao_agente;n_obras;n_obras_fsa;n_obras_renuncia;investimento_fsa_deflac;investimento_total_deflac;bilheteria_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_intl_medio;roi_intl_max;total_paises_max;n_obras_com_presenca_intl;n_obras_com_festival;n_obras_com_lumiere;n_obras_com_vod;pontuacao_festivais_max;adm_eu_total;critica_media;cita_n_papers_max_diretor;pct_obras_genero_feminino;cluster
00020648000120;PRODIGO FILMS LTDA;SP;Brasileiro independente;8;1;7;1011080.7;16940568.27;698404.28;908221.8;1606626.08;56.5;1.589;0.0948;1.4;10.0;0;0;2;0;0;50;0;3.55;1.0;0.0;Fomento Baixo Retorno
00061412000131;DI MAURO CULTURA E ARTE PRODUÇÕES ARTÍSTICAS LTDA;RJ;Brasileiro independente;1;0;1;0.0;389814.32;6441.12;389814.32;396255.44;98.4;;1.0165;0.0;0.0;0;0;0;0;0;0;0;;0.0;0.0;Pequeno Porte
00101698000131;YPEARTS AUDIOVISUAL LTDA;RJ;Brasileiro independente;2;1;2;4928287.5;14902046.2;120671.6;289589.16;410260.76;70.6;0.0832;0.0275;0.2;0.4;0;0;1;0;0;2;0;3.936;8.0;0.0;Fomento Baixo Retorno
00132102000160;SCHÜRMANN PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Brasileiro independente;2;0;2;0.0;13161118.18;3763781.0;89220.66;3853001.66;2.3;;0.2928;5.15;10.3;0;0;0;1;0;0;1968;3.678;3.0;0.0;Fomento Baixo Retorno
00193157000180;;;;1;0;1;0.0;9442270.35;149696.4;244886.32;394582.72;62.1;;0.0418;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Fomento Baixo Retorno
00205194000161;HECO PRODUÇÕES LTDA;SP;Brasileiro independente;1;0;1;0.0;1320636.94;147787.92;323599.78;471387.7;68.6;;0.3569;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Pequeno Porte
00285073000177;TPS MULTIMÍDIA LTDA;SC;Brasileiro independente;1;1;1;227897.62;1043388.41;0.0;65803.86;65803.86;100.0;0.2887;0.0631;0.0;0.0;0;0;0;0;0;0;0;3.2;0.0;0.0;Pequeno Porte
00338948000151;E.H. FILMES LTDA;RJ;Brasileiro independente;3;3;2;10365564.98;18004826.18;1114910.16;1022946.96;2137857.12;47.8;0.2062;0.1187;0.0;0.0;0;0;0;0;0;0;0;3.119;4.0;0.0;Fomento Baixo Retorno
00360459000104;TRES TEMPOS FILMES LTDA;RJ;Brasileiro independente;5;0;5;0.0;3037100.76;107729.72;1475248.52;1582978.24;93.2;;0.5212;0.5;2.5;0;0;1;0;0;12;0;4.028;4.0;0.0;Pequeno Porte
00445787000103;CINE CINEMATOGRÁFICA LTDA;SP;Brasileiro independente;1;0;1;0.0;613251.07;233093.0;189665.28;422758.28;44.9;;0.6894;0.0;0.0;0;0;0;0;0;0;0;3.775;0.0;0.0;Pequeno Porte
00487854000144;SIRINO E SILVESTRE LTDA-ME;PR;Brasileiro independente;1;0;1;0.0;830088.37;310644.88;221276.16;531921.04;41.6;;0.6408;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Pequeno Porte
00508766000181;SAMBAQUI CULTURAL CINE VÍDEO LTDA;PR;Brasileiro independente;4;0;3;0.0;1485209.47;84012.88;583610.16;667623.04;87.4;;0.4495;0.0;0.0;0;0;0;0;0;0;0;3.67;;0.0;Pequeno Porte
00538914000100;FRAIHA PRODUÇÕES DE EVENTOS E EDITORA LTDA;RJ;Brasileiro independente;4;2;4;8802549.0;19188031.1;18540366.32;385876.2;18926242.52;2.0;2.1501;0.9864;0.0;0.0;0;0;0;0;0;0;0;3.75;0.0;0.0;Retorno Doméstico
00563081000138;ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS LTDA;SC;Brasileiro independente;1;0;1;0.0;117937.79;0.0;104951.28;104951.28;100.0;;0.8899;0.0;0.0;0;0;0;0;0;0;0;;2.0;0.0;Pequeno Porte
00605488000180;;;;1;0;1;0.0;1554710.88;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Pequeno Porte
00614991000100;ARTES BRASIL PRODUÇÕES ARTÍSTICAS LTDA;MT;Brasileiro independente;1;1;0;556877.6;556877.6;0.0;69613.92;69613.92;100.0;0.125;0.125;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Pequeno Porte
00639143000148;FAGANELLO - COMUNICACOES EIRELI - ME;SC;Brasileiro independente;2;1;1;781583.75;2267295.11;31986.92;278885.94;310872.86;89.7;0.3977;0.1371;0.0;0.0;0;0;0;0;0;0;0;4.3;0.0;0.0;Pequeno Porte
00659237000189;;;;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0;0;0;0;0;0;0;4.6;4.0;0.0;Pequeno Porte
00669963000182;NACH VÍDEO PRODUÇÕES LTDA;RJ;Brasileiro independente;2;0;2;0.0;4874416.27;0.0;324966.52;324966.52;100.0;;0.0667;0.0;0.0;0;0;0;0;0;0;0;;;0.0;Pequeno Porte
00815123000180;TRADE PRODUÇÃO E COMUNICAÇÃO LTDA;MG;Brasileiro independente;1;0;1;0.0;660661.65;1013.88;373707.6;374721.48;99.7;;0.5672;0.0;0.0;0;0;0;0;0;0;0;3.3;;0.0;Pequeno Porte
00817115000173;BSB CINEMA PRODUCOES LTDA;DF;Brasileiro independente;2;2;2;7560147.0;18576380.37;49998.2;260711.02;310709.22;83.9;0.0411;0.0167;0.0;0.0;0;0;0;0;0;0;0;3.63;2.0;0.0;Fomento Baixo Retorno
00830735000142;ORIGEM COMUNICAÇÃO LTDA.;BA;Brasileiro independente;9;4;0;19876606.76;19876606.76;7455.0;1444867.34;1452322.34;99.5;0.0731;0.0731;0.44;4.0;0;0;1;0;0;20;0;3.838;0.0;0.0;Fomento Baixo Retorno
