titulo;cat;roi_internacional_0_100;adm_eu_lumiere;pontuacao_festivais;cartaz_eua;cartaz_asia;intl_n_mercados
A FEBRE;Festivais · Pontuação;43.92;3357;114.5;False;False;1
BACURAU;Bilheteria · Distribuidora;41.6;141139;77.5;True;True;3
AS BOAS MANEIRAS;Bilheteria · Produtora;40.46;29188;82.5;False;True;2
BENZINHO;Bilheteria · Distribuidora;34.96;60939;50.0;False;True;2
REGRA 34;Festivais · Pontuação;33.1;2463;62.5;False;False;1
DESERTO PARTICULAR;Bilheteria · Distribuidora;31.95;7171;49.5;True;False;2
GABRIEL E A MONTANHA;Festivais · Pontuação;30.37;95487;44.0;False;False;1
QUE HORAS ELA VOLTA?;Bilheteria · Distribuidora;28.49;457159;54.0;True;True;3
DIAMANTINO;Add-on FSA (Compl./Comerc.);27.6;0;88.0;False;True;1
TITO E OS PÁSSAROS;Bilheteria · Produtora;26.96;27150;65.5;False;False;1
MEDUSA;Automático Festivais;26.11;5980;71.5;True;False;2
CASA GRANDE;Bilheteria · Distribuidora;25.34;19926;59.5;False;False;1
