ano;fsa_mi;renuncia_mi;fomento_total_mi;pib_prod_mi;pib_total_mi;prod_pct_total;emprego_prod;emprego_total;exporta_usd_mi;saldo_usd_mi;fsa_pct_pib_prod
2007;;;;;;5.02;;;;;
2008;;;;1505.05;25099.72;6.0;;;;;
2009;;;;1719.85;28205.75;6.1;;;;;
2010;;;;1645.21;29286.72;5.62;19346.0;106022.0;;;
2011;;;;1961.25;35324.46;5.55;21120.0;112291.0;;;
2012;;;;2410.13;40196.1;6.0;22921.0;112399.0;;;
2013;;;;2273.22;42958.13;5.29;24849.0;111061.0;;;
2014;96.58;399.34;495.91;2651.42;44692.1;5.93;25265.0;98756.0;73.69;-1472.46;3.64
2015;154.95;368.22;523.17;2622.12;40687.0;6.44;24771.0;94972.0;154.81;-1436.1;5.91
2016;203.07;413.29;616.36;2728.52;36018.98;7.58;25121.0;91834.0;176.07;-1570.01;7.44
2017;230.56;434.69;665.25;2685.14;37576.24;7.15;24647.0;91132.0;170.05;-1465.36;8.59
2018;326.23;544.36;870.59;2312.71;37156.54;6.22;24548.0;84609.0;192.2;-1345.2;14.11
2019;326.18;536.74;862.92;2652.79;36671.13;7.23;26897.0;88053.0;226.15;-980.91;12.3
2020;289.19;275.3;564.48;;;;;;;;
2021;199.83;219.71;419.54;;;;;;;;
2022;196.92;143.95;340.86;;;;;;;;
2023;256.78;288.96;545.73;;;;;;;;
