titulo;cat;L;L_nonpten;pv2024;critica_indice_1_5;cita_n_papers;IMDB_VOTES
BACURAU;Bilheteria · Distribuidora;17;15;169668;3.9;;34523.0
QUE HORAS ELA VOLTA?;Bilheteria · Distribuidora;14;12;94573;4.4;0.0;19176.0
PRAIA DO FUTURO;Bilheteria · Distribuidora;14;12;31006;3.1;;3642.0
DIAMANTINO;Add-on FSA (Compl./Comerc.);11;9;15873;0.0;;3320.0
TINTA BRUTA;Add-on FSA (Compl./Comerc.);9;7;7720;2.6;;1283.0
MÃE SÓ HÁ UMA;Arranjos Regionais;8;6;7597;3.5;0.0;1649.0
AS BOAS MANEIRAS;Bilheteria · Produtora;7;5;39659;3.1;;4638.0
ABE;Automático Bilheteria;7;5;32077;0.0;;2662.0
MEU AMIGO HINDU;Add-on FSA (Compl./Comerc.);7;5;15993;4.3;;638.0
TRÊS TIGRES TRISTES;Automático Bilheteria;7;5;7031;3.75;;223.0
GABRIEL E A MONTANHA;Festivais · Pontuação;7;5;6240;3.798;4.0;1553.0
CHUVA É CANTORIA NA ALDEIA DOS MORTOS;Arranjos Regionais;7;5;5711;4.003;;884.0
MARTE UM;Arranjos Regionais;6;4;18942;3.907;;2604.0
CASA GRANDE;Bilheteria · Distribuidora;5;4;12320;3.5;4.0;3411.0
A NUVEM ROSA;Arranjos Regionais;6;4;11202;4.02;;1050.0
