grupo;titulo;ano;roi_intl;tconst;qid;L;L_nonpten;sitelinks;pv2024
dom_hit;S.O.S. MULHERES AO MAR 2;2015;0.0;tt4358196;Q27117295;3;1;3;5660
dom_hit;TUDO POR UM POP STAR;2018;0.0;tt8696442;Q51882749;2;1;2;20259
dom_hit;LINDA DE MORRER;2014;0.0;tt4543578;Q22000197;2;1;2;8117
dom_hit;LOUCAS PRA CASAR;2014;0.0;tt3948438;Q19427621;1;0;1;5638
obscura;BILL, O TOURO;2015;0.0;;;0;0;0;0
obscura;DIVERSIDADE;2015;0.0;;;0;0;0;0
obscura;A PROFESSORA DE MÚSICA;2016;0.0;;;0;0;0;0
obscura;AS AVENTURAS DE MINUANO KID;2016;0.0;;;0;0;0;0
top_intl;BACURAU;2019;41.6;tt2762506;Q63246555;17;15;18;169668
top_intl;QUE HORAS ELA VOLTA?;2015;28.5;tt3742378;Q18703886;14;12;15;94573
top_intl;DIAMANTINO;2018;27.6;tt6522668;Q55272444;11;9;11;15873
top_intl;AS BOAS MANEIRAS;2017;40.5;tt5480782;Q43303160;7;5;7;39659
top_intl;GABRIEL E A MONTANHA;2017;30.4;tt6805354;Q29832195;7;5;7;6240
top_intl;BENZINHO;2018;35.0;tt5707048;Q47136407;5;3;6;10180
top_intl;DESERTO PARTICULAR;2021;31.9;tt15132028;Q108372078;5;3;5;14563
top_intl;TITO E OS PÁSSAROS;2018;27.0;tt8327492;Q56307396;5;3;5;6949
top_intl;CASA GRANDE;2014;25.3;tt3474994;Q22000044;5;4;5;12320
top_intl;A FEBRE;2019;43.9;tt10603466;Q100997627;4;2;4;6389
top_intl;REGRA 34;2022;33.1;tt15520368;Q113509882;4;2;4;56514
top_intl;MEDUSA;2022;26.1;tt13846494;Q111144593;4;3;5;9234
