p;L
0.000000000000000000e+00;0.000000000000000000e+00
2.247191011235955254e-03;3.985432432597166600e-05
4.494382022471910508e-03;8.286799844641101656e-05
6.741573033707865328e-03;1.258816725668503807e-04
8.988764044943821016e-03;1.701598299037217752e-04
1.123595505617977670e-02;2.144379872405931698e-04
1.348314606741573066e-02;2.587201290870275693e-04
1.573033707865168634e-02;3.030027086934812021e-04
1.797752808988764203e-02;3.498296299367404261e-04
2.022471910112359772e-02;3.988199343935189571e-04
2.247191011235955341e-02;4.478102388502974880e-04
2.471910112359550910e-02;4.984339331454480139e-04
2.696629213483146131e-02;5.539215700806513843e-04
2.921348314606741700e-02;6.095658714994800671e-04
3.146067415730337269e-02;6.691847658767964124e-04
3.370786516853933185e-02;7.294039007115336740e-04
3.595505617977528406e-02;7.896234733062900335e-04
3.820224719101123628e-02;8.591368965890009953e-04
4.044943820224719544e-02;9.308746768021988575e-04
4.269662921348314766e-02;1.002612457015396611e-03
4.494382022471910682e-02;1.085944990313259710e-03
4.719101123595505903e-02;1.179598832799778159e-03
4.943820224719101819e-02;1.273252675286296607e-03
5.168539325842697041e-02;1.366920972787328322e-03
5.393258426966292263e-02;1.464056990747819543e-03
5.617977528089888178e-02;1.567710701494569618e-03
5.842696629213483400e-02;1.672187311738738014e-03
6.067415730337079316e-02;1.777022241959482461e-03
6.292134831460674538e-02;1.887481361031677091e-03
6.516853932584269760e-02;2.001494242741809221e-03
6.741573033707866369e-02;2.115575575824747874e-03
6.966292134831461591e-02;2.232186000414841925e-03
7.191011235955056813e-02;2.351423789169474615e-03
7.415730337078652035e-02;2.473393361254055262e-03
7.640449438202247257e-02;2.597770148882879663e-03
7.865168539325843866e-02;2.723658530792065578e-03
8.089887640449439088e-02;2.852699553153383982e-03
8.314606741573034310e-02;2.983010365454633050e-03
8.539325842696629532e-02;3.130652856297771666e-03
8.764044943820226141e-02;3.279049384307136487e-03
8.988764044943821363e-02;3.427446564489591146e-03
9.213483146067416585e-02;3.578564512530488760e-03
9.438202247191011807e-02;3.732791887855903008e-03
9.662921348314607028e-02;3.898690222244844718e-03
9.887640449438203638e-02;4.067965830512940313e-03
1.011235955056179886e-01;4.238010949423861966e-03
1.033707865168539408e-01;4.416867632555811218e-03
1.056179775280898930e-01;4.595724315687760471e-03
1.078651685393258453e-01;4.776703920500021024e-03
1.101123595505618113e-01;4.963269289554694645e-03
1.123595505617977636e-01;5.150182910105501055e-03
1.146067415730337158e-01;5.343744443647478227e-03
1.168539325842696680e-01;5.543016065277336923e-03
1.191011235955056341e-01;5.746617017357204087e-03
