cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
09180984000104;10;10;1.0;12649668.95;59972564.03;72622232.98;111307788.78;108771014.51999998;1.532695762889223;1.6149999999999998;14.45;3;769313.0;2014;2021;False;False;RJ;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;RJ;Duplo Retorno;2010;False
01378559000112;13;13;1.0;17679936.730000004;51606158.839999996;69286095.57;12096008.0;10656196.88;0.17458059803325704;1.1923076923076923;6.7;6;374409.0;2014;2022;False;False;SP;GULLANE ENTRETENIMENTO S.A.;SP;Retorno Doméstico;1995;True
10645895000175;10;10;1.0;15350721.32;43836053.91;59186775.23;441054616.03000003;438182137.40000004;7.451911585249583;2.8240000000000003;25.34;5;1552983.0;2014;2023;False;False;RJ;MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.;RJ;Duplo Retorno;2012;False
12580503000162;11;11;1.0;11362580.0;45058469.949999996;56421049.949999996;122035174.08000001;120398250.0;2.1629369568298866;1.380909090909091;11.89;4;250250.0;2016;2023;False;False;SP;PARIS PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Retorno Doméstico;2008;False
01473536000197;5;5;1.0;11778369.99;29831360.39;41609730.379999995;43155293.43;42195697.6;1.03714426976299;0.0;0.0;0;1541320.0;2015;2021;False;False;RJ;ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA;RJ;Retorno Doméstico;2006;False
05508188000105;6;6;1.0;18826003.8;22279358.34;41105362.14;4783825.92;4333939.4;0.11637960769465684;0.0;0.0;0;218005.0;2014;2022;False;False;SP;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;SP;Fomento Baixo Retorno;1986;True
03987306000171;6;6;1.0;12798762.75;27540193.209999997;40338955.95999999;16572399.729999999;15278157.719999999;0.41082867257231814;0.0;0.0;0;766337.0;2014;2020;False;False;RJ;CAMISA LISTRADA LTDA;RJ;Retorno Doméstico;2000;True
02140120000110;9;9;1.0;22576123.46;14757567.84;37333691.3;8683879.91;6675306.3999999985;0.23260169588427493;9.541111111111112;26.11;6;335546.0;2014;2023;False;False;RJ;BANANEIRA FILMES LTDA.;RJ;Duplo Retorno;2001;True
02525725000129;7;7;1.0;16010470.43;19669762.15;35680232.58;19207180.580000002;18052868.96;0.5383143323669445;4.365714285714286;16.8;5;908092.0;2014;2020;False;False;SP;O2 CINEMA LTDA;SP;Duplo Retorno;2007;False
02140164000140;5;5;1.0;15751176.77;16056817.11;31807993.880000003;112850546.34;111271004.03999999;3.547867456393009;0.3;1.1;2;4940886.0;2014;2022;False;False;RJ;GLAZ ENTRETENIMENTO S.A.;RJ;Retorno Doméstico;1999;True
