grupo;n_cnpj;n_obras;n_estreadas;inv_fsa;inv_total;receita_ref;retorno_dom_carteira;melhor_intl_cond;melhor_intl_carteira;n_sinal_intl;publico;razao;uf;cnpj_produtora;perfil_cond;perfil_cart
00077702000173;1.0;1.0;1.0;0.0;446103.3;90910.46;0.20378791190291579;0.0;0.0;0.0;0.0;TRATOR FILMES LTDA;SP;08164917000133;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00101698000131;1.0;2.0;1.0;4928287.5;14902046.2;307525.4;0.020636454609837408;0.4;0.4;1.0;6070.0;YPEARTS AUDIOVISUAL LTDA;RJ;00101698000131;Fomento Baixo Retorno;Fomento Baixo Retorno
00165794000143;1.0;7.0;7.0;16010470.43;35680232.58;19207180.580000002;0.5383143323669445;16.8;16.8;5.0;908092.0;O2 CINEMA LTDA;SP;02525725000129;Duplo Retorno;Duplo Retorno
00205194000161;1.0;1.0;1.0;0.0;1320636.94;471387.70000000007;0.3569396597372175;0.0;0.0;0.0;0.0;HECO PRODUÇÕES LTDA;SP;00205194000161;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00338948000151;1.0;3.0;3.0;10365564.98;18004826.18;2137857.12;0.1187380038344808;0.0;0.0;0.0;56082.0;E.H. FILMES LTDA;RJ;00338948000151;Fomento Baixo Retorno;Fomento Baixo Retorno
00360459000104;1.0;5.0;5.0;0.0;3037100.7600000002;1582978.2400000002;0.5212136063605608;2.5;2.5;1.0;162.0;DOCUMENTA PRODUCOES EIRELI - ME;RJ;00360459000104;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00538914000100;1.0;3.0;3.0;8802549.0;16795848.669999998;18846162.32;1.1220726436802317;0.0;0.0;0.0;932614.0;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;RJ;00538914000100;Retorno Doméstico;Retorno Doméstico
00639143000148;1.0;1.0;1.0;781583.75;2267295.1100000003;221652.2;0.09776063072795141;0.0;0.0;0.0;1609.0;FAGANELLO - COMUNICACOES EIRELI - ME;SC;00639143000148;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00830735000142;1.0;1.0;1.0;1505113.51;1505113.51;365001.56;0.2425076630931311;4.0;4.0;1.0;375.0;ORIGEM COMUNICAÇÃO LTDA.;;00830735000142;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00845658000102;1.0;3.0;3.0;3086166.4200000004;3188770.18;640694.46;0.200922118507769;0.0;0.0;0.0;11952.0;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;;00845658000102;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00962888000143;1.0;1.0;1.0;0.0;433320.3;437055.36000000004;1.0086196284826723;0.0;0.0;0.0;0.0;LUBA FILMES LTDA.;RJ;00962888000143;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
00993636000181;1.0;1.0;1.0;524147.9;524147.9;10357.48;0.0197606057374264;0.0;0.0;0.0;521.0;M MARGARITA HERNANDEZ PASCUAL;CE;00993636000181;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01009824000195;1.0;2.0;0.0;0.0;879423.6;0.0;0.0;0.0;0.0;0.0;0.0;ARAPY PRODUÇÕES LTDA.;SC;01009824000195;Pequeno Porte sem retorno;Pequeno Porte sem retorno
01025252000138;1.0;1.0;1.0;1415512.98;1415512.98;2604.28;0.001839813577689694;0.0;0.0;0.0;131.0;CABEÇA DE CUIA PRODUTORA DE FILMES E VÍDEOS LTDA;;01025252000138;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01106959000179;1.0;1.0;1.0;2349474.95;2349474.95;98028.28;0.0417234837936876;0.0;0.0;0.0;4931.0;GUSTAVO SPOLIDORO;;01106959000179;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01111024000180;1.0;1.0;1.0;3903919.28;4739235.68;1073.52;0.00022651753837234784;0.0;0.0;0.0;54.0;ALBATROZ CINEMATOGRÁFICA LTDA;SP;01111024000180;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01125538000195;1.0;3.0;3.0;7000463.359999999;8921516.69;871144.1200000001;0.09764529398644214;10.2;10.2;3.0;9434.0;DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA;RJ;01125538000195;Fomento Baixo Retorno;Fomento Baixo Retorno
01230968000177;1.0;1.0;1.0;0.0;2769467.03;193943.68;0.07002924313563683;0.0;0.0;0.0;0.0;BANG BANG FILMES PRODUÇÕES EIRELI;RJ;01230968000177;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01231528000134;1.0;1.0;1.0;3132436.5;3132436.5;21231.84;0.006778059188111235;0.0;0.0;0.0;1068.0;ARAÇÁ AZUL PRODUÇÃO EVENTOS E TURISMO LTDA;BA;01231528000134;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01287007000107;1.0;2.0;2.0;6531304.57;10872975.670000002;2590763.84;0.23827551156471957;0.0;0.0;0.0;118792.0;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;SP;08517383000181;Fomento Baixo Retorno;Fomento Baixo Retorno
01287908000190;1.0;1.0;0.0;0.0;2527918.7;0.0;0.0;0.0;10.0;0.0;0.0;AVENTURAS PRODUÇÕES E EDIÇÕES EDUCATIVAS LTDA;SP;01287908000190;Pequeno Porte sem retorno;Pequeno Porte sem retorno
01378559000201;2.0;14.0;14.0;17679936.730000004;77109788.36999999;79610602.56000003;1.0324318642660546;6.7;6.7;6.0;374409.0;GULLANE ENTRETENIMENTO S.A.;SP;01378559000112;Retorno Doméstico;Retorno Doméstico
01464291000131;1.0;2.0;2.0;2342864.2;3023674.6399999997;346263.04000000004;0.11451729475761323;0.0;0.0;0.0;2831.0;KINOFILMES PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;RJ;01464291000131;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01473536000197;1.0;5.0;5.0;11778369.99;41609730.379999995;43155293.43;1.03714426976299;0.0;0.0;0.0;1541320.0;ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA;RJ;01473536000197;Retorno Doméstico;Retorno Doméstico
01478079000123;1.0;2.0;2.0;0.0;8580423.030000001;11850925.52;1.3811586536660534;0.0;0.0;0.0;587.0;BLACK MARIA FILME VIDEO DIGITAL EIRELI;SP;01478079000123;Retorno Doméstico;Retorno Doméstico
01605800000107;1.0;3.0;3.0;185695.77;1938422.39;1955043.74;1.0085746791234702;2.0;2.0;2.0;47177.0;OLHAR IMAGINÁRIO LTDA;SP;01605800000107;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
01613170000104;2.0;10.0;10.0;4763841.0;15869135.52;1359467.9;0.08566742014942474;0.0;0.0;0.0;3397.0;CANAL AZUL CONSULTORIA AUDIOVISUAL - EIRELI;SP;04350398000147;Fomento Baixo Retorno;Fomento Baixo Retorno
01713311000160;1.0;1.0;1.0;3755590.2;6844831.130000001;878069.3600000001;0.12828210708537963;24.12;24.12;1.0;33610.0;TRES MUNDOS CINE Y VIDEO LTDA.;RJ;01713311000160;Retorno Internacional;Retorno Internacional
01803185000135;1.0;2.0;2.0;4325283.1;10061160.85;324243.69999999995;0.03222726530607052;0.0;0.0;0.0;2423.0;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;RJ;01803185000135;Fomento Baixo Retorno;Fomento Baixo Retorno
02008424000128;1.0;2.0;2.0;7551618.88;12448558.35;12862589.12;1.033259334804821;0.0;0.0;0.0;627173.0;ATC ENTRETENIMENTOS LTDA.;CE;02008424000128;Retorno Doméstico;Retorno Doméstico
02127762000189;1.0;1.0;1.0;0.0;656076.69;420756.56;0.641322221034861;0.0;0.0;0.0;0.0;JAGUAR PRODUÇÕES ARTÍSTICAS LTDA. - EPP;RJ;02127762000189;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
02188743000162;1.0;1.0;1.0;0.0;1189608.8;128622.56;0.10812172875654584;0.0;0.0;0.0;0.0;BSB SERVIÇOS CINEGROUP LTDA;DF;06900652000169;Pequeno Porte com algum retorno;Pequeno Porte com algum retorno
