cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B1402149500000;100 ANOS DE SELEÇÃO BRASILEIRA;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;3669198.43
B1402085500000;A BOLA;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;2446079.45
B1402778200000;A COPA PASSOU POR AQUI;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);4372969.98
B1500489000000;A GRANDE LUTA;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2691493.5
B1402126900000;A LINHA FRIA DO HORIZONTE;2014;Renúncia — Outros Mecanismos;INDEFINIDO;1053801.42
B1402282800000;A SEGUNDA VEZ;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;4198051.2
B1402237200000;A VAGA;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;4697416.11
B1402281100000;ADVOGADOS CONTRA A DITADURA;2014;Renúncia — Outros Mecanismos;INDEFINIDO;1224431.6
B1402148800000;ALMANAQUE DOS ESPORTES;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;1411594.72
B1500118400000;ANDRÉ MIDANI - DO VINIL AO DOWNLOAD;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2011566.2
B1402778600000;ARQUITETURA DA COR;2014;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1136972.2
B1402329400000;ARTE.TV;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B1700423300000;AS AVENTURAS DO MIAU;2014;Renúncia — Art.3/3-A/39;OUTROS MERCADOS - VÍDEO POR DEMANDA;0.0
B1402181500000;BR 14 - A ROTA DOS IMIGRANTES;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;0.0
B1402830300000;CAMISA OFICIAL;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B1402244100000;CARLOS;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;1613771.11
B1500245000000;CAROL LEVY CONTAROLANDO;2014;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);1136972.2
B1402798600000;CARRAPATOS E CATAPULTAS - 2A TEMPORADA;2014;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);0.0
B1402246700000;CONSELHO TUTELAR;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;3935085.99
B1402284400000;DESCALÇO SOBRE A TERRA VERMELHA;2014;Renúncia — Outros Mecanismos;INDEFINIDO;1259415.36
B1402189000000;DESTINO BRASIL DANÇA;2014;Renúncia — Outros Mecanismos;INDEFINIDO;1303145.06
B1500112600000;DESTINO MÁGICO;2014;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);0.0
B1402687700000;ENTRE FRONTEIRAS ÁFRICA 2;2014;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);3473012.77
B1402246100000;EXPERIMENTOS EXTRAORDINÁRIOS;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;4664895.92
B1500778100000;FERNANDO DE NORONHA - OBSERVATÓRIO DA NATUREZA;2014;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);647199.56
B1500714700000;FESTA DA UVA 80 ANOS - A CELEBRAÇÃO DE UMA IDENTIDADE;2014;Renúncia — Outros Mecanismos;INDEFINIDO;1941591.32
B1500388300000;FRANCISCO DE ASSIS- UMA LIÇÃO DE VIDA;2014;Renúncia — Outros Mecanismos;VIDEO DOMÉSTICO;91320.91
B1402230800000;FREEWAY;2014;Renúncia — Outros Mecanismos;INDEFINIDO;399689.46
B1402300300000;GABY ESTRELLA - 2A TEMPORADA;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;0.0
B1402681000000;HISTORIAS DE VERÃO;2014;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);2578617.53
B1402204500000;HOJE É DIA DE MÚSICA;2014;Renúncia — Art.3/3-A/39;INDEFINIDO;3491065.58
B1500168300000;HORA DE COMER;2014;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);874594.0
B1402825000000;HQ - EDIÇÃO ESPECIAL;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3245530.44
B1500247400000;IDADES DA MODA;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B1402299100000;IRMÃO DO JOREL- 1ª TEMPORADA;2014;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);9256988.85
