grupo;n_aplicacao;inv_fsa_aplicacao;inv_renuncia_aplicacao;inv_total_aplicacao;n_retorno;taxa_estreia;inv_total_retorno;receita_ref;bilheteria_obs;retorno_dom;retorno_dom_obs;retorno_intl_medio;n_sinal_intl;pct_sinal_intl;publico;pct_receita_estimada
Renúncia — Art.3/3-A/39;282.0;0.0;768518298.8199999;768518298.8199999;254.0;0.900709219858156;738739270.65;1594000239.41;1537469758.4399998;2.1577304777739448;2.081207564730131;1.7502362204724409;64.0;25.196850393700785;4659873.0;3.5464537314576616
Bilheteria · Distribuidora;106.0;351186594.44;241726093.51;592912687.9499999;105.0;0.9905660377358491;591261839.0099999;293810997.65000004;272619409.99999994;0.49692196970119507;0.46108067866593566;3.982761904761904;33.0;31.428571428571427;13713250.0;7.212659777713395
Bilheteria · Produtora;102.0;230613088.92999998;216335621.10999998;446948710.03999996;98.0;0.9607843137254902;440402397.01;147522886.03;126580552.28;0.3349729407277733;0.2874202164642755;2.196530612244898;27.0;27.55102040816326;6366832.0;14.195989729851956
Arranjos Regionais;151.0;152002854.93;109188791.88999999;261191646.82000002;122.0;0.8079470198675497;236756670.71;51888330.620000005;37964001.04;0.21916311994248858;0.16035029098082554;1.6534426229508197;30.0;24.59016393442623;1906250.0;26.835185124712726
Festivais · Pontuação;75.0;157042811.82999998;34661848.10000001;191704659.92999998;71.0;0.9466666666666667;175342639.21;11008719.04;3757081.44;0.0627840386662331;0.02142708389087444;3.9732394366197177;30.0;42.25352112676056;188988.0;65.87176558554447
Renúncia — Outros Mecanismos;147.0;0.0;150077066.41000003;150077066.41000003;91.0;0.6190476190476191;110661091.22;52689803.74;33613859.440000005;0.47613667242129337;0.303754997076379;0.9867032967032966;12.0;13.186813186813188;46415.0;36.2042424643125
Automático Bilheteria;35.0;88272832.77999999;59651635.01;147924467.79;34.0;0.9714285714285714;147390599.79;34010780.22;30439898.16;0.23075270925322286;0.20652537002610974;1.7249999999999999;7.0;20.588235294117645;1531182.0;10.499265341464136
Add-on FSA (Compl./Comerc.);51.0;50202794.42999999;88780084.91;138982879.34;51.0;1.0;138982879.34;62931647.39;55022671.199999996;0.4528014363268983;0.3958953179074351;2.2480392156862745;16.0;31.372549019607842;2767585.0;12.567565792432692
Automático Festivais;9.0;10825347.980000002;11111896.77;21937244.749999996;6.0;0.6666666666666666;20666054.930000003;1223051.9;800826.04;0.05918168243250671;0.038750794126530465;7.801666666666667;3.0;50.0;40283.0;34.522317491187415
Coprodução Intl;27.0;15827301.36;1437788.06;17265089.42;23.0;0.8518518518518519;15328209.24;1973113.58;902273.6799999999;0.1287243375338997;0.058863606692258326;3.2956521739130435;11.0;47.82608695652174;45386.0;54.27157923671075
