cpb;titulo;ano;categoria;cat_nova;chamada;tem_complementacao;tem_comercializacao;cnpj_produtora;uf;tipo_obra;segmento_destinacao_inicial;instrumento;inv_fsa;inv_renuncia;inv_total;bilheteria_obs;renda_pmi_estimada;janelas_crt;receita_ref;publico_domestico;sessoes_total;n_municipios;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;critica_indice_1_5;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;universo_aplicacao;universo_retorno;retorno_dom;retorno_intl;tem_intl
B1402372600000;A DESPEDIDA;2014;Renúncia — Art.3/3-A/39;;;;;03863923000165;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1157558.92;1157558.92;30396.52;0.0;594723.92;625120.4400000001;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.5400333660769511;0.0;False
B1402149200000;A GRANDE VITORIA;2014;Renúncia — Outros Mecanismos;;;;;11936522000116;SP;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;330579.04;330579.04;527814.0;0.0;743404.9;1271218.9;;;;0.0;0.0;0;0;0;0;4.164;2;alta;0.0;;;True;True;3.845431035192068;0.0;False
B1402307700000;A LUNETA DO TEMPO;2014;Renúncia — Outros Mecanismos;;;;;05167381000111;RJ;FICÇÃO;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);Renúncia pura;0.0;5265055.88;5265055.88;136794.28;0.0;734658.96;871453.24;;;;0.0;0.0;0;0;0;0;3.648;2;alta;0.0;;;True;True;0.16551642752935036;0.0;False
B1402723400000;A NOITE DA VIRADA;2014;Renúncia — Art.3/3-A/39;;;;;02525725000129;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;2380732.33;2380732.33;6954004.12;0.0;358583.54;7312587.66;349799.0;;;0.0;0.0;0;0;0;0;3.3;1;baixa;0.0;;;True;True;3.071570696063929;0.0;False
B1500265900000;A VIAGEM DE YOANI;2014;Renúncia — Outros Mecanismos;;;;;09640643000174;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;642826.59;642826.59;19462.52;0.0;209902.56;229365.08;;;;0.0;0.0;0;0;0;0;3.9;1;baixa;0.0;;;True;True;0.356807082295709;0.0;False
B1402781000000;A VIDA PRIVADA DOS HIPOPÓTAMOS;2014;Renúncia — Outros Mecanismos;;;;;06137016000127;SP;DOCUMENTÁRIO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;900831.82;900831.82;22683.08;0.0;349837.6;372520.68;;;;4.0;20.0;0;0;0;0;3.2;1;baixa;0.0;;;True;True;0.4135296641719428;4.0;True
B1500404600000;A VIZINHANÇA DO TIGRE;2014;Renúncia — Outros Mecanismos;;;;;;MG;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;155901.63;155901.63;35903.28;0.0;454788.88;490692.16000000003;;;;2.5;12.5;0;0;0;0;4.113;2;media;0.0;;;True;True;3.1474472717187116;2.5;True
B1402081900000;ALEMÃO;2014;Renúncia — Outros Mecanismos;;;;;05387293000125;SP;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;699675.2;699675.2;19134559.64;0.0;358583.54;19493143.18;;;;0.0;0.0;0;0;0;0;3.5;1;baixa;0.0;;;True;True;27.860274567399276;0.0;False
B1700623000000;AMARAÇÃO;2014;Renúncia — Art.3/3-A/39;;;;;12305731000124;SP;FICÇÃO;SALAS DE EXIBIÇÃO;sem inv.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;False;False;;;False
B1402480200000;APNEIA;2014;Renúncia — Outros Mecanismos;;;;;11179178000168;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1103492.11;1103492.11;100851.24;0.0;209902.56;310753.8;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;0.28160944440282404;0.0;False
