cpb,titulo_original,ano_ref,ano_producao_inicial,uf_requerente,segmento_destinacao_inicial,tipo_obra,familia_chamada,chamada_publica,coproducao_internacional,valor_contrato_brl,n_contratos_fsa,fator_real_2024,valor_contrato_r2024,valor_fsa_r2024,inv_fsa_r2024,inv_renuncia_r2024,tem_renuncia,publico_domestico,chegou_cinema,publico_por_milhao_r2024,renda_total,sessoes_total,n_municipios,eventos_intl,pontos_intl,fest_pontuacao,fest_n,admissoes_europa,vod_eu_presencas,cartaz_eua,cartaz_asia,intl_n_mercados,desempenho_internacional,intl_n_sinais,tem_internacional,n_canais_intl,vod_paises,critica_indice_1_5,imdb_rating,imdb_n_votos,tem_critica,tem_imdb
B2600016900000,MEDLEY,2023,2026,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,7500000.0,1,1.0483,7862250.0,7862250.0,7862250.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2300303300000,TPM! MEU AMOR,2018,2023,SP,SALAS DE EXIBIÇÃO,FICÇÃO,CONCURSO,CONCURSO PRODUÇÃO PARA CINEMA,False,5735577.5,2,1.392194,12605718.17970535,7985036.5820349995,7985036.5820349995,4620681.59767035,True,530.0,True,42.044411309565575,8847.38,252.0,15.0,,,,,,,False,False,0,0.0,0,False,,,4.3,5.6,50.0,True,True
B2500192800000,A SOGRA PERFEITA 2,2023,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA VIA DISTRIBUIDORA,False,5500000.0,1,1.0483,9321529.033599999,5765650.0,5765650.0,3555879.0336,True,113969.0,True,12226.427616026516,2112519.3,29439.0,206.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2400522800000,HOMEM COM H,2023,2024,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,5500000.0,1,1.0483,9942232.0,5765650.0,5765650.0,4176582.0,True,654421.0,True,65822.34250820137,13991250.21,26552.0,242.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800078700000,"TORI, A DETETIVE",2023,2017,BA,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,6222300.0,2,1.0483,6522837.09,6522837.09,,,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2500400300000,"QUEM TEM COM QUE ME PAGUE, NÃO ME DEVE NADA",2022,2025,BA,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,CINEMA VIA DISTRIBUIDORA,False,5000000.0,1,1.096731,5483654.999999999,5483654.999999999,5483654.999999999,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2500287500000,O REI DA FEIRA,2022,2025,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,CINEMA VIA DISTRIBUIDORA,False,5000000.0,1,1.096731,5483654.999999999,5483654.999999999,5483654.999999999,0.0,False,121126.0,True,22088.552252101934,2274513.19,28795.0,230.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1500542700000,"TORI, A DETETIVE",2023,2015,BA,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,6222300.0,2,1.0483,7516580.4353,6522837.09,7516580.4353,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2100472800000,PALOMA,2022,2021,PE,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,True,4500000.0,1,1.096731,4935289.5,4935289.5,4935289.5,0.0,False,3458.0,True,700.6681168348889,47179.91,314.0,12.0,,,26.5,9.0,,22.0,False,False,0,15.3,3,True,1.0,12.0,,6.8,337.0,False,True
B2500526300000,PALOMA,2022,2025,PE,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,False,4500000.0,1,1.096731,4935289.5,4935289.5,,,False,,False,0.0,,,,,,,,,22.0,False,False,0,10.0,1,True,1.0,12.0,,,,False,False
B2400012600000,OS FAROFEIROS 2,2018,2024,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,DESEMPENHO,SUPORTE AUTOMÁTICO - DESEMPENHO COMERCIAL CINEMA,False,4500000.0,1,1.392194,10861900.2,6264873.0,6264873.0,4597027.2,True,1926724.0,True,177383.6957183606,36468385.54,68533.0,400.0,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900413700000,PLANETA PALAVRA,2022,2018,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO TV/VOD – VIA PROGRAMADORA,False,7500000.0,2,1.096731,12922734.954,8225482.499999999,10849234.5,2073500.454,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1900047500000,A GAROTA DA MOTO – SEGUNDA TEMPORADA,2013,2018,SP,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),FICÇÃO,PRODAV,PRODAV 01,False,4813557.84,2,1.861311,8871491.46266496,8959528.15672824,8871491.46266496,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.8,,,True,False
B2500405800000,DOLORES,2022,2025,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,5474561.0,3,1.096731,6674390.609471,6004120.760090999,6674390.609471,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,1.0,0.0,,,,False,False
B2200250300000,"EIKE, TUDO OU NADA",2015,2022,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 06,False,6269868.39,4,1.580544,14318080.15334766,9909802.864604158,9576448.15334766,4741632.0,True,18466.0,True,1289.6980462623355,481818.37,3226.0,81.0,,,,,,,False,False,0,0.0,0,False,,,3.63,6.1,560.0,True,True
B2500496400000,QUERIDO MUNDO,2022,2025,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODUCAO,PRODUÇÃO CINEMA,False,4500000.0,1,1.096731,10712893.5,4935289.5,4935289.5,5777604.0,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2000367000000,GAROTA DA MOTO,2013,2020,SP,SALAS DE EXIBIÇÃO,FICÇÃO,PRODAV,PRODAV 01,False,7598717.859999999,3,1.861311,17023118.912384838,14143577.138714459,12689915.91238484,4333203.0,True,2923.0,True,171.70766503154886,49036.58,1402.0,39.0,,,,,,,False,False,0,0.0,0,False,,,3.8,4.4,72.0,True,True
B2400454300000,TUIGA  - 2ª TEMPORADA,2022,2024,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),ANIMAÇÃO,PRODUCAO,PRODUÇÃO TV-VOD,False,4500000.0,1,1.096731,4935289.5,4935289.5,4935289.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1700085000000,QUESTÃO DE FAMILIA 3º TEMPORADA,2013,2016,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,PRODAV,PRODAV 01,False,4731917.0,2,1.861311,8775959.783396,8807569.163186999,8775959.783396,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.656,,,True,False
