k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
central do brasil,Central do Brasil,2218086.0,40.0,9.0,0.0,0.0,0.0,,0,2
cidade de deus,Cidade De Deus,1810560.0,64.0,16.0,0.0,0.0,0.0,,0,2
noah s ark,Noah's Ark,530836.0,0.0,0.0,0.0,0.0,0.0,,0,1
o menino e o mundo,O Menino e o Mundo,533467.0,0.0,0.0,0.0,0.0,0.0,,0,1
que horas ela volta,Que Horas Ela Volta?,457159.0,0.0,0.0,22.0,0.0,0.0,,0,2
aquarius,Aquarius,311538.0,22.0,7.0,28.0,0.0,0.0,,0,3
tropa de elite,Tropa de elite,279171.0,0.0,0.0,0.0,0.0,0.0,,0,1
my penguin friend,My Penguin Friend,246628.0,0.0,0.0,0.0,0.0,0.0,,0,1
eu tu eles,"Eu, Tu, Eles",178155.0,0.0,0.0,0.0,0.0,0.0,,0,1
the violin teacher,The Violin Teacher,163739.0,0.0,0.0,0.0,0.0,0.0,,0,1
bacurau,Bacurau,141139.0,41.0,10.0,0.0,0.0,0.0,,0,2
tieta do agreste,Tieta do agreste,120909.0,0.0,0.0,0.0,0.0,0.0,,0,1
abril despedacado,Abril despedaçado,118985.0,3.0,1.0,0.0,0.0,0.0,,0,2
nada a perder 2,Nada a Perder 2,114975.0,0.0,0.0,0.0,0.0,0.0,,0,1
linha de passe,Linha De Passe,108157.0,0.0,0.0,0.0,0.0,0.0,,0,1
o ano em que meus pais sairam de ferias,O Ano em Que Meus Pais Saíram de Férias,97795.0,0.0,0.0,0.0,0.0,0.0,,0,1
cidade dos homens,Cidade dos homens,97109.0,0.0,0.0,0.0,0.0,0.0,,0,1
estomago uma historia nada infantil sobre poder sexo e gastronomia,"Estômago - Uma História Nada Infantil Sobre Poder, Sexo E Gastronomia",96595.0,0.0,0.0,0.0,0.0,0.0,,0,1
tropa de elite 2 o inimigo agora e outro,Tropa de Elite 2 - O Inimigo Agora É Outro,96518.0,0.0,0.0,0.0,0.0,0.0,,0,1
gabriel e a montanha,Gabriel e a montanha,95487.0,9.0,3.0,0.0,0.0,0.0,,0,2
do lado de fora,Do Lado de Fora,81109.0,0.0,0.0,0.0,0.0,0.0,,0,1
nada a perder,Nada a Perder,80012.0,0.0,0.0,0.0,0.0,0.0,,0,1
carandiru,Carandiru,75106.0,0.0,0.0,0.0,0.0,0.0,,0,1
lino uma aventura de sete vidas,Lino: Uma Aventura de Sete Vidas,73215.0,0.0,0.0,0.0,0.0,0.0,,0,1
perlimps,Perlimps,64001.0,0.0,0.0,0.0,0.0,0.0,,0,1
benzinho,Benzinho,60939.0,22.0,8.0,0.0,1.0,1.0,,0,4
madame sata,Madame Satã,41931.0,4.0,3.0,0.0,0.0,0.0,,0,2
como nossos pais,Como Nossos Pais,36866.0,0.0,0.0,0.0,0.0,0.0,,0,1
um copo de colera,Um Copo de Cólera,36838.0,0.0,0.0,0.0,0.0,0.0,,0,1
hoje eu quero voltar sozinho,Hoje Eu Quero Voltar Sozinho,36402.0,0.0,0.0,0.0,0.0,0.0,,0,1
rio eu te amo,"Rio, Eu Te Amo",35680.0,0.0,0.0,0.0,0.0,0.0,,0,1
cidade baixa,Cidade Baixa,33189.0,0.0,0.0,0.0,0.0,0.0,,0,1
bossa nova,Bossa Nova,33012.0,0.0,0.0,0.0,0.0,0.0,,0,1
o som ao redor,O Som ao Redor,32295.0,0.0,0.0,17.0,0.0,0.0,,0,2
os dez mandamentos o filme,Os Dez Mandamentos: O Filme,32256.0,0.0,0.0,0.0,0.0,0.0,,0,1
flores raras,Flores Raras,30489.0,0.0,0.0,0.0,0.0,0.0,,0,1
o misterio da estrada de sintra,O Mistério Da Estrada De Sintra,29515.0,0.0,0.0,0.0,1.0,1.0,,0,3
as boas maneiras,As Boas Maneiras,29188.0,24.0,8.0,0.0,0.0,0.0,,0,2
pequeno dicionario amoroso,Pequeno Dicionário Amoroso,28799.0,0.0,0.0,0.0,0.0,0.0,,0,1
orfeu,Orfeu,28334.0,0.0,0.0,0.0,0.0,0.0,,0,1
mae so ha uma,Mãe Só Há Uma,28144.0,0.0,0.0,0.0,0.0,0.0,,0,1
tito e os passaros,Tito e os Pássaros,27150.0,0.0,0.0,0.0,0.0,1.0,,0,2
o que e isso companheiro,"O que é isso, companheiro?",26982.0,0.0,0.0,0.0,0.0,0.0,,0,1
o primeiro dia,O primeiro dia,26565.0,1.0,1.0,0.0,0.0,0.0,,0,2
meu pe de laranja lima,Meu Pé de Laranja Lima,26507.0,0.0,0.0,6.0,0.0,0.0,,0,2
three summers,Three Summers,24972.0,20.0,4.0,0.0,0.0,0.0,,0,2
boi neon,Boi Neon,24787.0,22.0,8.0,80.0,0.0,0.0,,0,3
casa grande,Casa Grande,19926.0,0.0,0.0,24.0,0.0,0.0,,0,2
nao pare na pista a melhor historia de paulo coelho,Não Pare na Pista: A Melhor História de Paulo Coelho,19385.0,51.0,10.0,0.0,0.0,0.0,,0,2
saudade do futuro,Saudade do Futuro,18917.0,1.0,1.0,0.0,0.0,0.0,,0,2
the space in between marina abramovic and brazil,The Space in Between: Marina Abramovic and Brazil,18490.0,0.0,0.0,0.0,0.0,0.0,,0,1
o invasor,O invasor,17070.0,0.0,0.0,0.0,0.0,0.0,,0,1
a deriva,À Deriva,16115.0,0.0,0.0,0.0,0.0,0.0,,0,1
ultima parada 174,Última Parada 174,16013.0,0.0,0.0,0.0,0.0,0.0,,0,1
amores possiveis,Amores Possíveis,15863.0,0.0,0.0,0.0,0.0,0.0,,0,1
saravah,Saravah,15697.0,0.0,0.0,0.0,0.0,0.0,,0,1
jamais sans toi,Jamais sans toi,14637.0,0.0,0.0,0.0,0.0,0.0,,0,1
proibido proibir,Proibido Proibir,14286.0,0.0,0.0,0.0,0.0,0.0,,0,1
levante,Levante,13883.0,27.0,9.0,0.0,0.0,0.0,,0,2
terra estrangeira,Terra estrangeira,13230.0,0.0,0.0,0.0,0.0,0.0,,0,1
