cpb,imdb_tconst,tmdb_id,tmdb_encontrado,cartaz_eua,eua_tipo_max,eua_data,cartaz_asia,asia_paises,n_asia_paises,n_paises_cartaz
B0400102700000,tt0112381,394531.0,True,False,0,,False,,0,1
B0400059500000,tt0118674,232739.0,True,False,0,,False,,0,1
B0600547500000,tt0189415,284649.0,True,False,0,,False,,0,1
B0500298800000,tt0113466,471130.0,True,False,0,,False,,0,0
B0500444400000,tt0117418,8442.0,True,False,0,,False,,0,1
B0500263900000,tt0117910,65140.0,True,False,0,,False,,0,3
B0400052500000,tt0139075,262707.0,True,False,0,,False,,0,1
B0500313900000,tt0288464,523975.0,True,True,3,1996-10-10,False,,0,1
B0500403400000,tt0137546,240839.0,True,False,0,,False,,0,1
B0500262300000,tt0268337,277372.0,True,False,0,,False,,0,1
B0500321300000,tt0243393,364407.0,True,False,0,,False,,0,1
B1101390800000,tt0158789,164543.0,True,False,0,,False,,0,1
B0800842700000,tt0118815,344290.0,True,False,0,,False,,0,1
B0500311300000,tt0138364,253386.0,True,False,0,,False,,0,1
B0600508700000,tt0239770,195517.0,True,False,0,,False,,0,1
B0500261200000,tt0222715,329630.0,True,False,0,,False,,0,1
B0600520300000,tt0144085,79978.0,True,False,0,,False,,0,1
B0400055300000,tt0222760,480051.0,True,False,0,,False,,0,1
B0500286200000,tt0174481,96055.0,True,False,0,,False,,0,1
B0300023600000,tt0235208,248959.0,True,False,0,,False,,0,0
B0600556000000,tt0121118,54955.0,True,False,0,,False,,0,1
B0700724300000,tt0173651,584879.0,True,False,0,,False,,0,0
B0500311600000,tt0189509,185775.0,True,False,0,,False,,0,1
B0500242600000,tt0237456,240855.0,True,False,0,,False,,0,1
B0800853700000,tt0280422,460835.0,True,False,0,,False,,0,1
B0800834800000,tt0197049,368586.0,True,False,0,,False,,0,1
B0800854000000,tt0140656,440758.0,True,False,0,,False,,0,1
B0600534900000,tt0237004,426050.0,True,False,0,,False,,0,1
B0500304300000,tt0144940,507935.0,True,False,0,,False,,0,1
B0500363900000,tt0235449,259812.0,True,False,0,,False,,0,1
B0600561200000,tt0166635,67613.0,True,True,3,2000-04-29,False,,0,2
B0800822000000,tt0183613,77291.0,True,False,0,,False,,0,1
B0500307600000,tt0166851,272149.0,True,False,0,,False,,0,1
B0500336400000,tt0228964,128454.0,True,False,0,,False,,0,1
B0600450400000,tt0217109,229669.0,True,False,0,,False,,0,1
B0600460600000,tt0192743,180662.0,True,False,0,,False,,0,0
B0500309600000,tt0275915,123833.0,True,True,3,2001-01-22,False,,0,2
B0500254900000,tt0263064,,False,False,0,,False,,0,0
B0500309800000,tt0263124,53961.0,True,False,0,,False,,0,2
B0500386700000,tt0180837,19600.0,True,True,3,2000-02-18,False,,0,1
B0700637600000,tt0263156,249756.0,True,False,0,,False,,0,2
B0500312000000,tt0262345,274430.0,True,False,0,,False,,0,1
B0700686200000,tt0212897,52751.0,True,False,0,,False,,0,1
B0500301000000,tt0297986,63407.0,True,True,3,2003-01-11,False,,0,5
B0500312100000,tt0263748,420068.0,True,False,0,,False,,0,1
B0600575000000,tt0311541,61551.0,True,False,0,,False,,0,2
B0300011200000,tt0228685,250500.0,True,False,0,,False,,0,1
B0800819200000,tt0245034,130905.0,True,True,3,2000-01-20,False,,0,2
B0500247700000,tt0258902,492909.0,True,False,0,,False,,0,1
B0400132100000,tt0245547,250224.0,True,True,3,2000-10-24,False,,0,3
B0300009600000,tt0304513,71879.0,True,False,0,,False,,0,1
B0500309900000,tt0294349,73158.0,True,True,3,2002-07-25,False,,0,2
B0500309700000,tt0241683,286231.0,True,False,0,,False,,0,1
B0500310000000,tt0286560,240270.0,True,False,0,,False,,0,1
B0200001300000,tt0293086,161244.0,True,False,0,,False,,0,1
B0300001600000,tt0350804,34196.0,True,False,0,,False,,0,1
B0200001000000,tt0314009,74901.0,True,False,0,,False,,0,1
B1201554100000,tt0264590,264123.0,True,False,0,,False,,0,1
B0500210500000,tt0296635,409457.0,True,False,0,,False,,0,1
