titulo,diretor,ano,festival,secao,resultado,premiado,fonte
Vinil Verde,Kleber Mendonça Filho,2004,Cannes,Quinzaine des Cinéastes,selecionado,False,painel curado (xlsx)
Alguma Coisa Assim,Esmir Filho,2006,Cannes,Semaine de la Critique,premiado — Prêmio de Melhor Roteiro de Curta-Metragem,True,painel curado (xlsx)
Um Ramo,Juliana Rojas e Marco Dutra,2007,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Saliva,Esmir Filho,2007,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Tá,Felipe Sholl,2007,Berlinale,Panorama,premiado — TEDDY Award Melhor Curta,True,painel curado (xlsx)
Dez Elefantes,Eva Randolph,2008,Locarno,Pardi di domani — Concorso Internazionale,premiado — Pardino d'Oro SRG SSR,True,painel curado (xlsx)
Meu Amigo Nietzsche,Fáuston da Silva,2012,Clermont-Ferrand,Competição Internacional,premiado — Prêmio Público + Prêmio Fernand Raynaud (Melhor Comédia),True,painel curado (xlsx)
Pouco Mais de um Mês,André Novais Oliveira,2013,Cannes,Quinzaine des Cinéastes,selecionado,False,painel curado (xlsx)
Pátio,Aly Muritiba,2013,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Sem Coração,Nara Normande e Tião,2014,Cannes,Quinzaine des Cinéastes,premiado — Prix Illy du Court Métrage,True,painel curado (xlsx)
O Bom Comportamento,Eva Randolph,2014,Locarno,Pardi di domani — Concorso Internazionale,selecionado,False,painel curado (xlsx)
Command Action,João Paulo Miranda Maria,2015,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Mar de Fogo,Joel Pizzini,2015,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
Das Águas Que Passam,Diego Zon,2015,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
Quintal,André Novais Oliveira,2015,Cannes,Quinzaine des Cinéastes,selecionado,False,painel curado (xlsx)
Tarântula,Aly Muritiba e Marja Calafange,2015,Veneza,Orizzonti,selecionado,False,painel curado (xlsx)
Guida,Rosana Urbes,2015,Annecy,Competição Oficial,premiado — Prêmio Jean-Luc Xiberras (Melhor Primeiro Filme) + Menção Especial FIPRESCI,True,painel curado (xlsx)
A Moça Que Dançou com o Diabo,João Paulo Miranda Maria,2016,Cannes,Compétition Court Métrage,premiado — Menção Especial do Júri,True,painel curado (xlsx)
O Delírio é a Redenção dos Aflitos,Fellipe Fernandes,2016,Cannes,Semaine de la Critique,selecionado,False,painel curado (xlsx)
Terremoto Santo,Bárbara Wagner e Benjamin de Burca,2018,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
Alma Bandida,Marco Antônio Pereira,2018,Berlinale,Berlinale Shorts,selecionado,False,painel curado (xlsx)
O Órfão,Carolina Markowicz,2018,Cannes,Quinzaine des Cinéastes,premiado — Queer Palm Melhor Curta,True,painel curado (xlsx)
Guaxuma,Nara Normande,2018,Annecy,Competição Oficial,selecionado,False,painel curado (xlsx)
Garoto Transcodificado a partir de Fosfeno,Rodrigo Faustini,2018,Annecy,Off Limits,premiado — Cristal Melhor Curta Off Limits,True,painel curado (xlsx)
Almofada de Penas,Joseph Specker Nys,2018,Annecy,Perspectives,selecionado,False,painel curado (xlsx)
Apiyemiyekî?,Ana Vaz,2019,Berlinale,Forum Expanded,selecionado,False,painel curado (xlsx)
Rã,Julia Zakia e Ana Flávia Cavalcanti,2019,Berlinale,Generation Kplus,selecionado,False,painel curado (xlsx)
Sangro,Thiago Minamisawa e Bruno Castro,2019,Annecy,Perspectives,selecionado,False,painel curado (xlsx)
Apiyemiyekî?,Ana Vaz,2020,Rotterdam,Ammodo Tiger Short Competition,selecionado,False,painel curado (xlsx)
A Chuva Acalanta a Dor,Leonardo Mouramateus,2020,Rotterdam,Ammodo Tiger Short Competition,selecionado,False,painel curado (xlsx)
Carne,Camila Kater,2020,Annecy,Competição Oficial,selecionado,False,painel curado (xlsx)
Fantasma Neon,Leonardo Martinelli,2021,Locarno,Pardi di domani — Concorso Internazionale,premiado — Pardino d'Oro SRG SSR,True,painel curado (xlsx)
Céu de Agosto,Jasmin Tenucci,2021,Cannes,Compétition Court Métrage,premiado — Menção Especial do Júri,True,painel curado (xlsx)
Sideral,Carlos Segundo,2021,Cannes,Compétition Court Métrage,selecionado,False,painel curado (xlsx)
Cantareira,Rodrigo Ribeyro,2021,Cannes,La Cinef (Cinéfondation),selecionado,False,painel curado (xlsx)
Ato,Bárbara Paz,2021,Veneza,Orizzonti,selecionado,False,painel curado (xlsx)
Bob Cuspe — Nós Não Gostamos de Gente,Cesar Cabral,2021,Annecy,Contrechamp,premiado — Prêmio de Melhor Filme Contrechamp,True,painel curado (xlsx)
Meu Tio José,Ducca Rios,2021,Annecy,Competição Oficial,selecionado,False,painel curado (xlsx)
Manhã de Domingo,Bruno Ribeiro,2022,Berlinale,Berlinale Shorts,premiado — Urso de Prata Prêmio do Júri,True,painel curado (xlsx)
