diretor,diretor_ridab,confianca,ano_curta,n_curtas,premiado,festivais,n_longas,ano_1o_longa,gap,maduro,tinha_longa_antes,d1_qualquer_longa,d2_europa,d2_europa_pos,d3_festival,d3_festival_pos
Kleber Mendonça Filho,KLEBER MENDONCA VASCONCELLOS FILHO,alta,2004,1,False,Cannes,6,2008,4.0,True,False,True,True,True,True,True
Esmir Filho,ESMIR OLIVEIRA FILHO,alta,2006,2,True,Cannes,4,2009,3.0,True,False,True,True,True,False,False
Juliana Rojas,JULIANA ARAUJO ROJAS,alta,2007,1,False,Cannes,4,2010,3.0,True,False,True,True,True,True,True
Felipe Sholl,FELIPE SHOLL MACHADO,alta,2007,1,True,Berlinale,2,2016,9.0,True,False,True,False,False,False,False
Marco Dutra,MARCO AURELIO FERREIRA DUTRA,alta,2007,1,False,Cannes,6,2010,3.0,True,False,True,True,True,True,True
Caetano Gotardo,CAETANO GOTARDO SOARES,alta,2008,1,False,Cannes,3,2012,4.0,True,False,True,True,True,True,True
Eva Randolph,EVA RANDOLPH,alta,2008,2,True,Locarno,0,,,True,False,False,False,False,False,False
Tião,,sem_correspondencia,2008,2,True,Cannes,0,,,True,False,False,False,False,False,False
Marcelo Caetano,MARCELO BATISTA CAETANO,alta,2012,1,False,Rotterdam,2,2017,5.0,True,False,True,True,True,True,True
Gabriel Martins,GABRIEL MARTINS ALVES,alta,2012,1,True,Rotterdam,4,2018,6.0,True,False,True,True,True,True,True
Guto Parente,GUSTAVO PARENTE LIMA,alta,2012,1,False,Locarno,11,2010,1.0,True,True,True,False,False,False,False
Fáuston da Silva,FAUSTON PEREIRA SILVA,alta,2012,1,True,Clermont-Ferrand,1,2024,12.0,True,False,True,False,False,False,False
Thais Fujinaga,THAIS FUJINAGA,alta,2012,1,True,Berlinale,1,2022,10.0,True,False,True,False,False,False,False
Aly Muritiba,ALYSSON SILVA MURITIBA,alta,2013,2,False,Cannes | Veneza,8,2011,0.0,True,True,True,True,True,True,True
André Novais Oliveira,ANDRE NOVAIS OLIVEIRA,alta,2013,2,False,Cannes,4,2014,1.0,True,False,True,True,True,False,False
Ricardo Alves Júnior,,sem_correspondencia,2013,1,True,Locarno,0,,,True,False,False,False,False,False,False
Nara Normande,NARA BARRETO CAMPELLO NORMANDE,alta,2014,2,True,Annecy | Cannes,1,2024,10.0,True,False,True,True,True,False,False
João Paulo Miranda Maria,JOAO PAULO MIRANDA MARIA,alta,2015,2,True,Cannes,1,2020,5.0,True,False,True,False,False,False,False
Joel Pizzini,JOEL PIZZINI FILHO,alta,2015,1,False,Berlinale,10,2003,4.0,True,True,True,False,False,False,False
Marja Calafange,MARJA CALAFANGE COELHO,alta,2015,1,False,Veneza,0,,,True,False,False,False,False,False,False
Rosana Urbes,ROSANA URBES,alta,2015,2,True,Annecy,0,,,True,False,False,False,False,False,False
Diego Zon,DIEGO MARIM ZON,alta,2015,1,False,Berlinale,1,2025,10.0,True,False,True,False,False,False,False
