cpb,inv_total_r2024,inv_fsa_r2024,inv_renuncia_r2024,inv_producao_r2024,n_mecanismos,tem_renuncia
B0200000400000,397690.97,0.0,397690.97,397690.97,2,True
B0200001000000,1380993.0,0.0,1380993.0,1380993.0,2,True
B0200001200000,140000.0,0.0,140000.0,140000.0,1,True
B0200001300000,2986925.48,0.0,2986925.48,2986925.48,2,True
B0300001600000,3538999.66,0.0,3538999.66,3538999.66,2,True
B0300002200000,410336.0,0.0,410336.0,410336.0,1,True
B0300002500000,334750.0,0.0,334750.0,334750.0,1,True
B0300002700000,1937423.9100000001,0.0,1937423.9100000001,1937423.9100000001,2,True
B0300002800000,3002325.99,0.0,3002325.99,3002325.99,2,True
B0300002900000,3050320.0,0.0,3050320.0,3050320.0,2,True
B0300003400000,1544641.85,0.0,1544641.85,1544641.85,2,True
B0300004100000,2463224.7800000003,0.0,2463224.7800000003,2463224.7800000003,2,True
B0300004300000,229919.0,0.0,229919.0,229919.0,1,True
B0300004700000,5136693.0,0.0,5136693.0,5136693.0,2,True
B0300005800000,1314336.0,0.0,1314336.0,1314336.0,2,True
B0300006200000,3000000.0,0.0,3000000.0,3000000.0,2,True
B0300007900000,4130000.0,0.0,4130000.0,4130000.0,2,True
B0300008800000,2174214.4,0.0,2174214.4,2174214.4,2,True
B0300010000000,278768.0,0.0,278768.0,278768.0,2,True
B0300011200000,2985378.0,0.0,2985378.0,2985378.0,1,True
B0300011900000,134261.63,0.0,134261.63,134261.63,1,True
B0300015600000,3275535.0,0.0,3275535.0,3275535.0,2,True
B0300019500000,2998071.93,0.0,2998071.93,2998071.93,2,True
B0300020800000,2730523.0,0.0,2730523.0,2730523.0,2,True
B0300021600000,1500000.0,0.0,1500000.0,1500000.0,1,True
B0300026000000,864760.0,0.0,864760.0,864760.0,2,True
B0300029800000,1646970.27,0.0,1646970.27,1646970.27,2,True
B0300034800000,3814447.0,0.0,3814447.0,3814447.0,2,True
B0300039900000,2404334.79,0.0,2404334.79,2404334.79,2,True
B0300040100000,2065352.71,0.0,2065352.71,2065352.71,2,True
B0300040300000,550700.0,0.0,550700.0,550700.0,1,True
B0300040400000,1496129.55,0.0,1496129.55,1496129.55,2,True
B0300040900000,2750000.0,0.0,2750000.0,2750000.0,1,True
B0300041300000,50000.0,0.0,50000.0,50000.0,1,True
B0300041500000,4512000.0,0.0,4512000.0,4512000.0,2,True
B0300046000000,3619950.0,0.0,3619950.0,3619950.0,2,True
B0300046600000,1130000.0,0.0,1130000.0,1130000.0,1,True
B0300047000000,3267880.9,0.0,3267880.9,3267880.9,2,True
B0300050000000,2899731.0,0.0,2899731.0,2899731.0,2,True
B0400050100000,3619761.04,0.0,3619761.04,3619761.04,2,True
B0400051500000,88782.0,0.0,88782.0,88782.0,1,True
B0400052500000,113790.0,0.0,113790.0,113790.0,1,True
B0400053800000,1190000.0,0.0,1190000.0,1190000.0,2,True
B0400054400000,2999999.0,0.0,2999999.0,2999999.0,2,True
B0400055300000,2834981.0,0.0,2834981.0,2834981.0,1,True
B0400055700000,598312.0,0.0,598312.0,598312.0,1,True
B0400066300000,1018000.0,0.0,1018000.0,1018000.0,2,True
B0400069700000,200000.0,0.0,200000.0,200000.0,1,True
B0400081100000,3800000.0,0.0,3800000.0,3800000.0,2,True
B0400085800000,100000.0,0.0,100000.0,100000.0,1,True
B0400096900000,327239.0,0.0,327239.0,327239.0,1,True
B0400097900000,5999216.8100000005,0.0,5999216.8100000005,5999216.8100000005,2,True
B0400102600000,3503750.0,0.0,3503750.0,3503750.0,3,True
B0400102900000,1100000.0,0.0,1100000.0,1100000.0,1,True
B0400121700000,4258962.0,0.0,4258962.0,4258962.0,3,True
B0400126400000,4767115.0,0.0,4767115.0,4767115.0,2,True
B0400126800000,200000.0,0.0,200000.0,200000.0,1,True
B0400127100000,4896360.0,0.0,4896360.0,4896360.0,2,True
B0400128700000,559810.0,0.0,559810.0,559810.0,1,True
B0400129500000,1059405.0,0.0,1059405.0,1059405.0,1,True
B0400129600000,4500000.0,0.0,4500000.0,4500000.0,2,True
B0400129700000,429609.0,0.0,429609.0,429609.0,1,True
B0400129900000,4800000.0,0.0,4800000.0,4800000.0,2,True
B0400132100000,2141439.0,0.0,2141439.0,2141439.0,1,True
B0400134800000,319535.62,0.0,319535.62,319535.62,1,True
B0400142000000,374740.0,0.0,374740.0,374740.0,1,True
B0400142200000,1845723.66,0.0,1845723.66,1845723.66,2,True
B0400145800000,240000.0,0.0,240000.0,240000.0,1,True
B0400152400000,5027770.27,0.0,5027770.27,5027770.27,2,True
B0400154400000,3360566.8,0.0,3360566.8,3360566.8,2,True
B0400163000000,1163500.0,0.0,1163500.0,1163500.0,1,True
B0400168800000,5997000.0,0.0,5997000.0,5997000.0,2,True
B0400170600000,3000000.0,0.0,3000000.0,3000000.0,1,True
B0400171000000,1329542.0,0.0,1329542.0,1329542.0,2,True
B0500183300000,1190088.0,0.0,1190088.0,1190088.0,1,True
B0500186600000,3699999.98,0.0,3699999.98,3699999.98,2,True
B0500199300000,89000.0,0.0,89000.0,89000.0,1,True
B0500209900000,280000.0,0.0,280000.0,280000.0,1,True
B0500216600000,200000.0,0.0,200000.0,200000.0,1,True
B0500220600000,3262055.0,0.0,3262055.0,3262055.0,2,True
B0500222600000,3000000.0,0.0,3000000.0,3000000.0,1,True
