CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1600324600000;BILL, O TOURO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;266643;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800159100000;DIVERSIDADE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;166005;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600107600000;EM NOME DA LEI;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 01;1131960|700000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600064700000;ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;60000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600416100000;MÃE SÓ HÁ UMA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600227000000;O CASEIRO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;250000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600756100000;A CIDADE DO FUTURO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600630700000;A FINADA MÃE DA MADAME;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;533333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700012000000;A PROFESSORA DE MÚSICA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;133333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600713500000;AS AVENTURAS DE MINUANO KID;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700013000000;CAFÉ COM CANELA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;532119;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700422600000;CHOCANTE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;504368;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600651600000;CURUMIM, O HOMEM QUE QUERIA VOAR;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;100000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700401900000;EU MORO AQUI;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;333333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600714000000;O ÚLTIMO TRAGO;FSA SAV/MINC / Arranjos Regionais;3;ARRANJOS REGIONAIS|PRODECINE 03|PRODECINE 05;587967|200000|116359;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600473500000;QUATRO MILAGRES DE UM SANTO LADRÃO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1600547800000;RIFLE;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 03;300000|144000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700605000000;A MOÇA DO CALENDÁRIO;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 03;495000|200000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800115300000;A VIDA EXTRA-ORDINÁRIA DE TARSO DE CASTRO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700542200000;ALCE & ALICE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800408800000;AURORA 1964;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;96241;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700620000000;BRAZIL, MADE IN PARANÁ;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;30000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900426000000;CANAL 60;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;54000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900452000000;CLANDESTINO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700342300000;DIÁRIOS DA FLORESTA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;666667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800077200000;JEITOSINHA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;168148;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900203700000;JOÃO E MARIA - UMA AVENTURA NO CERRADO (O FILME);FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;28000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800443100000;LENINGRADO LINHA 41;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33334;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700214000000;NO FIM DE TUDO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33334;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700104400000;O CLUBE DOS CANIBAIS;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;588500|200000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800609700000;O SAMBA QUE MORA AQUI;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700070600000;O SENHOR DAS JORNADAS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;166667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700510100000;PAULA PARANORMAL;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;54000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800236000000;PROFETAS DA CHUVA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;225079;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800364300000;SABÁ;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;73620;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1700424500000;YONLU;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 03;600000|200000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1800307800000;1798 REVOLTA DOS BÚZIOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
