cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
12.580.503/0001-62,PARIS PRODUÇÕES CINEMATOGRÁFICAS LTDA,8,38.822843481,76.29924575917545,1743801.0,141378.5,33.07016745,14857.62745816995,100.0,37.5,2825.0,3.775,SP,4.0,Campeãs de público
03.987.306/0001-71,CAMISA LISTRADA LTDA,7,28.359628841890874,61.868670152534676,8312707.0,589443.0,124.61396917,53589.552415132275,100.0,0.0,0.0,3.5,RJ,4.0,Campeãs de público
01.378.559/0001-12,GULLANE ENTRETENIMENTO S.A.,8,31.05946816041352,59.0378529051396,411497.0,3127.0,8.00723923,645.2581469406068,87.5,50.0,0.0,3.8335,SP,3.0,Comerciais de sala
42.473.256/0001-66,MORENA FILMES EIRELI - ME,5,34.090241902486405,53.217297514330966,296780.0,18466.0,4.58606825,1289.6980462623355,100.0,0.0,0.0,3.8,RJ,4.0,Campeãs de público
01.473.536/0001-97,"ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA",4,19.915203667009152,46.32460699283265,21427.0,7665.0,0.34937441999999996,658.9197779398937,75.0,0.0,0.0,3.8865,RJ,4.0,Campeãs de público
02.140.164/0001-40,GLAZ ENTRETENIMENTO S.A.,5,25.73723594283294,38.650681088291826,534136.0,3129.5,8.69029257,609.2063720603696,80.0,20.0,0.0,3.85,RJ,4.0,Campeãs de público
05.565.485/0001-84,PANORAMICA COMUNICACAO LTDA.,5,23.975166520577368,37.98025250613336,619510.0,105869.0,8.75084957,11059.535302528322,60.0,0.0,0.0,3.888,RJ,4.0,Campeãs de público
10.645.895/0001-75,MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.,4,21.35903703807228,30.789884143862572,16374.0,8187.0,0.34106387,972.1910583221838,50.0,25.0,0.0,3.934,RJ,3.0,Comerciais de sala
09.180.984/0001-04,CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.,4,13.68215006892412,30.041639523104525,71270.0,11561.0,1.13978328,1412.100557291757,75.0,25.0,0.0,3.8,RJ,4.0,Campeãs de público
02.008.424/0001-28,ATC ENTRETENIMENTOS LTDA.,3,19.30918724020164,24.90505043235764,10196.0,3481.0,0.15828416999999997,402.2312754494911,100.0,0.0,0.0,3.8435,CE,4.0,Campeãs de público
