titulo,diretor,ano,festival,secao,resultado,premiado,fonte
Areia,Caetano Gotardo,2008,Cannes,Semaine de la Critique,selecionado,False,estudo anterior (pesquisa externa) + bambufilmes.com.br
Dizem que os Cães Veem Coisas,Guto Parente,2012,Locarno,Pardi di domani,selecionado,False,estudo anterior (pesquisa externa) + vertentesdocinema.com
Dona Sônia Pediu uma Arma ao Seu Vizinho Alcides,Gabriel Martins,2012,Rotterdam,Competição de curtas,premiado,True,estudo anterior (pesquisa externa) + filmesdeplastico.com.br
L,Thais Fujinaga,2012,Berlinale,Generation,premiado — menção especial do júri internacional,True,estudo anterior (pesquisa externa) + centrodaterra.org.br
Na Sua Companhia,Marcelo Caetano,2012,Rotterdam,Competição de curtas,selecionado,False,estudo anterior (pesquisa externa)
Muro,Tião,2008,Cannes,Quinzaine des Réalisateurs,premiado — Prix Regards Neuf,True,pesquisa 2026-08-15 (pt.wikipedia Brasil no Festival de Cannes)
Tremor,Ricardo Alves Júnior,2013,Locarno,Pardi di domani,premiado,True,pesquisa 2026-08-15 (peoplepill/perfil do diretor)
A Máquina Infernal,Francis Vogner dos Reis,2021,Locarno,Pardi di domani,selecionado,False,pesquisa 2026-08-15 (locarnofestival.ch)
Como Respirar Fora d'Água,Victoria Negreiros,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
Como Respirar Fora d'Água,Júlia Fávero,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
São Paulo Open Wound,Elizabeth Rocha Salgado,2022,Clermont-Ferrand,Competição Internacional,selecionado,False,pesquisa 2026-08-15 (cinevitor.com.br)
