diretor_curta,diretor_ridab,confianca,nota
Kleber Mendonça Filho,KLEBER MENDONCA VASCONCELLOS FILHO,alta,
Esmir Filho,ESMIR OLIVEIRA FILHO,alta,
Juliana Rojas,JULIANA ARAUJO ROJAS,alta,
Felipe Sholl,FELIPE SHOLL MACHADO,alta,
Marco Dutra,MARCO AURELIO FERREIRA DUTRA,alta,
Eva Randolph,EVA RANDOLPH,alta,nome artístico igual ao legal
Fáuston da Silva,FAUSTON PEREIRA SILVA,alta,
Aly Muritiba,ALYSSON SILVA MURITIBA,alta,
André Novais Oliveira,ANDRE NOVAIS OLIVEIRA,alta,
Nara Normande,NARA BARRETO CAMPELLO NORMANDE,alta,
Tião,,sem_correspondencia,mononímico; não identificável com segurança no cadastro
Rosana Urbes,ROSANA URBES,alta,
Diego Zon,DIEGO MARIM ZON,alta,
Joel Pizzini,JOEL PIZZINI FILHO,alta,
Marja Calafange,MARJA CALAFANGE COELHO,alta,
João Paulo Miranda Maria,JOAO PAULO MIRANDA MARIA,alta,
Fellipe Fernandes,FELLIPE LUIS MELO FERNANDES,alta,
Marco Antônio Pereira,MARCO ANTONIO CAMPOS PEREIRA,media,homônimos no cadastro; escolhido o de trajetória compatível (MG)
Rodrigo Faustini,RODRIGO FAUSTINI SANTOS,alta,
Benjamin de Burca,,sem_correspondencia,estrangeiro radicado; sem registro de direção no cadastro
Carolina Markowicz,CAROLINA MARKOWICZ BASTOS,alta,
Bárbara Wagner,BARBARA WAGNER,alta,
Joseph Specker Nys,JOSEPH SPECKER NYS,alta,
Thiago Minamisawa,THIAGO AMARAL MINAMISAWA,alta,
Ana Flávia Cavalcanti,ANA FLAVIA CAVALCANTI RIBEIRO,alta,
Bruno Castro,BRUNO CASTRO CARDOSO,baixa,sete homônimos; correspondência não confirmada
Julia Zakia,JULIA ZAKIA ORLANDI,alta,
Ana Vaz,,sem_correspondencia,carreira majoritariamente fora do Brasil
Leonardo Mouramateus,,sem_correspondencia,carreira majoritariamente em Portugal
Camila Kater,CAMILA MAGALHAES KATER,alta,
Bárbara Paz,BARBARA RAQUEL PAZ,alta,
Cesar Cabral,CESAR LUIZ CABRAL,alta,
Ducca Rios,,sem_correspondencia,
Carlos Segundo,CARLOS ANTONIO SANTOS SEGUNDO,media,
Leonardo Martinelli,LEONARDO ROCHA MARTINELLI SILVA,alta,
Rodrigo Ribeyro,,sem_correspondencia,
Jasmin Tenucci,JASMIN FREITAS TENUCCI,alta,
Bruno Ribeiro,,baixa,oito homônimos; nenhum confirmável
Cassiana Der Haroutiounian,CASSIANA DER HAROUTIOUNIAN,alta,
Arne Hector,,sem_correspondencia,estrangeiro
Minze Tummescheit,,sem_correspondencia,estrangeira
Luciana Mazeto,LUCIANA HUBNER MAZETO,alta,dupla com Vinícius Lopes
Vinícius Lopes,VINICIUS SILVA LOPES,alta,dupla com Luciana Mazeto
Cesar Gananian,CESAR AUGUSTO GANANIAN,alta,
Rafaela Camelo,RAFAELA CAMELO VIEIRA,alta,
Laís Santos Araújo,LAIS SANTOS ARAUJO,alta,
Emanuel Lavor,EMANUEL VINICIUS LAVOR MIRANDA,alta,
Paulo Menezes,,sem_correspondencia,
Leandro Goddinho,,sem_correspondencia,
Pedro Vargas,PEDRO VARGAS CUNHA,media,
Roger Ghil,ROGER GOMES GHIL,alta,
André Hayato Saito,ANDRE HAYATO SAITO,alta,
Leonardo Pirondi,,sem_correspondencia,carreira nos EUA
Valentina Homem,VALENTINA ONUFER CORREA HOMEM,alta,
Moara Passoni,MOARA ROSSETTO PASSONI,alta,
Gustavo de Carvalho,,baixa,homônimos; correspondência não confirmada
Luiza Calagian,LUIZA MANDETTA CALAGIAN,alta,
Lucia Murat,LUCIA MARIA MURAT VASCONCELLOS,alta,diretora já estabelecida quando levou curta ao festival
Rosa Caldeira,,sem_correspondencia,
Pethrus Tibúrcio,,sem_correspondencia,
Stephanie Ricci,STEPHANIE DE MARCHI RICCI,media,
Caetano Gotardo,CAETANO GOTARDO SOARES,alta,acrescentado 2026-08-15
Guto Parente,GUSTAVO PARENTE LIMA,alta,"Guto = Gustavo; Alumbramento/CE, filmografia compatível"
Gabriel Martins,GABRIEL MARTINS ALVES,alta,acrescentado 2026-08-15
Thais Fujinaga,THAIS FUJINAGA,alta,acrescentado 2026-08-15
Marcelo Caetano,MARCELO BATISTA CAETANO,alta,acrescentado 2026-08-15
Ricardo Alves Júnior,,sem_correspondencia,não localizado no cadastro
Francis Vogner dos Reis,FRANCIS VOGNER DOS REIS,alta,acrescentado 2026-08-15
Victoria Negreiros,VICTORIA NEGREIROS GUEDES,media,acrescentado 2026-08-15
Júlia Fávero,JULIA DORDETTI FAVERO,media,acrescentado 2026-08-15
Elizabeth Rocha Salgado,,sem_correspondencia,não localizada no cadastro
