chamada,valor_mi,legado_cat,meu_automatismo,esperado_automatismo,meu_criterio,esperado_criterio,meu_elo,esperado_elo,meu_destino,esperado_destino,meu_macro,origem,status,divergencias,fonte_oficial
PRODAV 01,468.1,_tv_excluir,misto_pont_roteiro,,nao_aplica,,produtora,,TV,,FSA TV,manual,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODECINE 02,328.4,Pont_Com_Dist,misto_pont_roteiro,misto_pont_roteiro,bilheteria,bilheteria,distribuidora,distribuidora,Cinema,Cinema,FSA Cinema,manual,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODAV 06,305.2,_tv_excluir,automatico,,nao_aplica,,produtora,,TV,,FSA TV,manual,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
ARRANJOS REGIONAIS,303.0,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,comissao,Outros,,Arranjos Regionais,manual,override_cainan,decisão Cainan (vence legado): elo:produtora≠comissao,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
PRODECINE 01,254.8,Pont_Com_Prod,misto_pont_roteiro,misto_pont_roteiro,bilheteria,bilheteria,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODAV 02 - PROJETO DERIVADO,185.3,_tv_excluir,misto_pont_roteiro,,nao_aplica,,produtora,,TV,,FSA TV,manual,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODUÇÃO CINEMA,168.0,Pont_Com_Prod,misto_pont_roteiro,misto_pont_roteiro,bilheteria,bilheteria,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,153.8,_tv_excluir,automatico,,bilheteria,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
FLUXO CONTÍNUO PRODUÇÃO PARA CINEMA,153.0,Auto_Bilh,automatico,automatico,bilheteria,bilheteria,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
CINEMA NOVOS REALIZADORES,100.2,Roteiro,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/wp-content/uploads/2022/09/Ata-Resultado-Preliminar_Cinema-Novos-Realizadores_02.09.2022-publicacao.pdf
PRODECINE 05,96.9,Pont_Fest_Prod,misto_pont_roteiro,misto_pont_roteiro,festivais,festivais,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
CONCURSO PRODUÇÃO PARA CINEMA,88.9,Pont_Fest_Prod,misto_pont_roteiro,misto_pont_roteiro,festivais,festivais,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/fsa/chamada-publica-brde-fsa-producao-cinema-2022/
PRODECINE 04,81.1,Complementacao,complementacao,complementacao,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
PRODUÇÃO TV-VOD,74.1,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,—
